round,date,home_team,away_team,home_score,away_score,stadium,stage
1,04/22/2021 19:15,Valur,ÍA,,,Origo völlurinn,
1,04/23/2021 18:00,Stjarnan,Leiknir R.,,,Samsungvöllurinn,
1,04/23/2021 19:15,Víkingur R.,Keflavík,,,Víkingsvöllur,
1,04/23/2021 20:00,Fylkir,FH,,,Würth völlurinn,
1,04/24/2021 14:00,HK,KA,,,Kórinn,
1,04/24/2021 17:00,Breiðablik,KR,,,Kópavogsvöllur,
2,05/01/2021 17:00,ÍA,Víkingur R.,,,Norðurálsvöllurinn,
2,02/05/2021 14:00,Leiknir R.,Breiðablik,,,Domusnovavöllurinn,
2,02/05/2021 17:00,KR,KA,,,Meistaravellir,
2,02/05/2021 19:15,HK,Fylkir,,,Kórinn,
2,05/03/2021 19:15,FH,Valur,,,Kaplakrikavöllur,
2,05/03/2021 19:15,Keflavík,Stjarnan,,,Nettóvöllurinn,
3,05/07/2021 19:15,Valur,HK,,,Origo völlurinn,
3,05/07/2021 19:15,Fylkir,KR,,,Würth völlurinn,
3,05/08/2021 16:00,KA,Leiknir R.,,,Greifavöllurinn,
3,05/08/2021 17:00,Stjarnan,Víkingur R.,,,Samsungvöllurinn,
3,05/08/2021 17:00,FH,ÍA,,,Kaplakrikavöllur,
3,09/05/2021 19:15,Breiðablik,Keflavík,,,Kópavogsvöllur,
4,05/12/2021 19:15,KR,Valur,,,Meistaravellir,
4,05/12/2021 19:15,Leiknir R.,Fylkir,,,Domusnovavöllurinn,
4,05/12/2021 19:15,HK,FH,,,Kórinn,
4,05/13/2021 17:00,Keflavík,KA,,,Nettóvöllurinn,
4,05/13/2021 19:15,ÍA,Stjarnan,,,Norðurálsvöllurinn,
4,05/13/2021 19:15,Víkingur R.,Breiðablik,,,Víkingsvöllur,
5,05/16/2021 16:00,KA,Víkingur R.,,,Greifavöllurinn,
5,05/16/2021 19:15,Valur,Leiknir R.,,,Origo völlurinn,
5,05/16/2021 19:15,FH,KR,,,Kaplakrikavöllur,
5,05/17/2021 19:15,HK,ÍA,,,Kórinn,
5,05/17/2021 19:15,Breiðablik,Stjarnan,,,Kópavogsvöllur,
5,05/17/2021 19:15,Fylkir,Keflavík,,,Würth völlurinn,
