round,date,home_team,away_team,home_score,away_score,stadium,stage
1,08/12/2005,Tinex Šenčur,Dravinja Duol,2,1,Šenčur,
1,08/14/2005,Livar Ivančna Gorica,Aluminij,2,3,Ivančna Gorica,
1,08/14/2005,Zagorje,Supernova Triglav,0,0,Zagorje,
1,08/14/2005,Svoboda-LJ,Koroška Dravograd,4,1,Športni park Svoboda-LJ,
1,08/14/2005,Krško,Factor,3,2,Krško,
2,08/20/2005,Krško,Tinex Šenčur,1,1,Krško,
2,08/21/2005,Factor,Koroška Dravograd,0,0,Igrišče ŽŠD Ljubljana,
2,08/21/2005,Supernova Triglav,Svoboda-LJ,1,0,Kranj,
2,08/21/2005,Aluminij,Zagorje,1,0,Kidričevo,
2,08/21/2005,Dravinja Duol,Livar Ivančna Gorica,3,2,Slovenske Konjice,
3,08/26/2005,Tinex Šenčur,Factor,2,2,Šenčur,
3,08/28/2005,Livar Ivančna Gorica,Krško,1,4,Ivančna Gorica,
3,08/28/2005,Zagorje,Dravinja Duol,1,2,Zagorje,
3,08/28/2005,Svoboda-LJ,Aluminij,0,1,Športni park Svoboda-LJ,
3,08/28/2005,Koroška Dravograd,Supernova Triglav,1,1,Dravograd,
4,09/02/2005,Tinex Šenčur,Livar Ivančna Gorica,1,1,Šenčur pri Kranju,
4,09/03/2005,Krško,Zagorje,0,0,Krško,
4,09/04/2005,Factor,Supernova Triglav,1,0,ŽŠD Ljubljana,
4,09/04/2005,Aluminij,Koroška Dravograd,1,1,Kidričevo,
4,09/04/2005,Dravinja Duol,Svoboda-LJ,2,0,Slovenske Konjice,
5,09/11/2005,Livar Ivančna Gorica,Factor,0,1,Ivančna Gorica,
5,09/11/2005,Zagorje,Tinex Šenčur,1,0,Zagorje,
5,09/11/2005,Svoboda-LJ,Krško,3,1,Športni park Svoboda-LJ,
5,09/11/2005,Koroška Dravograd,Dravinja Duol,0,2,Dravograd,
5,09/11/2005,Supernova Triglav,Aluminij,2,1,Kranj,
6,09/16/2005,Tinex Šenčur,Svoboda-LJ,1,0,Šenčur pri Kranju,
6,09/17/2005,Krško,Koroška Dravograd,0,3,Krško,
6,09/18/2005,Livar Ivančna Gorica,Zagorje,0,0,Ivančna Gorica,
6,09/18/2005,Factor,Aluminij,1,0,Igrišče ŽŠD Ljubljana,
6,09/18/2005,Dravinja Duol,Supernova Triglav,1,1,Slovenske Konjice,
7,09/25/2005,Zagorje,Factor,2,0,Zagorje,
7,09/25/2005,Svoboda-LJ,Livar Ivančna Gorica,0,1,Športni park Svoboda-LJ,
7,09/25/2005,Koroška Dravograd,Tinex Šenčur,2,2,Dravograd,
7,09/25/2005,Supernova Triglav,Krško,1,1,Kranj,
7,09/25/2005,Aluminij,Dravinja Duol,1,2,Kidričevo,
8,09/30/2005,Tinex Šenčur,Supernova Triglav,0,5,Šenčur,
