round,date,home_team,away_team,home_score,away_score,stadium,stage
1,08/05/2005 20:30,Bayern München,Borussia Mönchengladbach,3,0,Allianz Arena,
1,08/06/2005 15:30,Hamburger SV,1. FC Nürnberg,3,0,AOL Arena,
1,08/06/2005 15:30,1. FC Köln,1. FSV Mainz 05,1,0,Rhein-Energie-Stadion,
1,08/06/2005 15:30,MSV Duisburg,VfB Stuttgart,1,1,MSV-Arena,
1,08/06/2005 15:30,VfL Wolfsburg,Borussia Dortmund,2,2,Volkswagen Arena,
1,08/06/2005 15:30,Hannover 96,Hertha BSC,2,2,AWD-Arena,
1,08/06/2005 15:30,Werder Bremen,Arminia Bielefeld,5,2,Weserstadion,
1,08/07/2005 17:30,FC Schalke 04,1. FC Kaiserslautern,2,1,Veltins-Arena,
1,08/07/2005 17:30,Eintracht Frankfurt,Bayer 04 Leverkusen,1,4,Waldstadion,
2,08/13/2005 15:30,Hertha BSC,Eintracht Frankfurt,2,0,Olympiastadion,
2,08/13/2005 15:30,Bayer 04 Leverkusen,Bayern München,2,5,Bay-Arena,
2,08/13/2005 15:30,Borussia Mönchengladbach,VfL Wolfsburg,1,1,Borussia-Park,
2,08/13/2005 15:30,Borussia Dortmund,FC Schalke 04,1,2,Westfalenstadion,
2,08/13/2005 15:30,1. FC Kaiserslautern,MSV Duisburg,5,3,Fritz-Walter-Stadion,
2,08/13/2005 15:30,Arminia Bielefeld,Hamburger SV,0,2,SchücoArena,
2,08/13/2005 15:30,1. FC Nürnberg,Hannover 96,1,1,Frankenstadion,
2,08/14/2005 17:30,VfB Stuttgart,1. FC Köln,2,3,Gottlieb-Daimler-Stadion,
2,08/14/2005 17:30,1. FSV Mainz 05,Werder Bremen,0,2,Bruchwegstadion,
3,08/27/2005 15:30,Hamburger SV,Hannover 96,1,1,AOL Arena,
3,08/27/2005 15:30,1. FC Köln,1. FC Kaiserslautern,2,3,Rhein-Energie-Stadion,
3,08/27/2005 15:30,FC Schalke 04,Borussia Mönchengladbach,1,1,Veltins-Arena,
3,08/27/2005 15:30,VfL Wolfsburg,Bayer 04 Leverkusen,2,1,Volkswagen Arena,
3,08/27/2005 15:30,Bayern München,Hertha BSC,3,0,Allianz Arena,
