round,date,home_team,away_team,home_score,away_score,stadium,stage
7,09/13/1975 15:00,SpVgg Erkenschwick,VfL Osnabrück,1,1,Stimbergstadion,
7,09/13/1975 15:00,Fortuna Köln,Wacker 04 Berlin,2,1,Müngersdorfer Stadion (1923-1973),
7,09/13/1975 15:00,1. SC Göttingen 05,Alemannia Aachen,2,0,Jahnstadion Göttingen,
7,09/13/1975 15:00,SG Wattenscheid 09,Wuppertaler SV,2,2,Lohrheidestadion,
7,09/13/1975 15:00,SC Preußen Münster,Schwarz-Weiß Essen,2,0,Preußenstadion,
7,09/13/1975 15:00,Spandauer SV 1894,Arminia Bielefeld,1,3,Stadion an der Neuendorfer Straße,
7,09/13/1975 15:00,Borussia Dortmund,1. FC Mülheim,6,0,Westfalenstadion,
7,09/13/1975 15:00,FC St. Pauli,Bayer 04 Leverkusen,1,1,Wilhelm-Koch-Stadion,
7,09/13/1975 15:00,Union Solingen,SC Westfalia Herne,1,1,Stadion am Hermann-Löns-Weg,
8,09/20/1975 15:00,Alemannia Aachen,Borussia Dortmund,1,2,Tivoli (alt),
8,09/20/1975 15:00,SC Westfalia Herne,SC Preußen Münster,2,1,Schloss Strünkede,
8,09/20/1975 15:00,Wacker 04 Berlin,SpVgg Erkenschwick,2,0,Wackerplatz,
8,09/20/1975 15:00,1. FC Mülheim,SG Wattenscheid 09,1,2,Ruhrstadion,
8,09/20/1975 15:00,Bayer 04 Leverkusen,1. SC Göttingen 05,2,1,Kleines Haberland-Stadion,
8,09/20/1975 15:00,Tennis Borussia Berlin,Fortuna Köln,3,2,Mommsenstadion,
8,09/20/1975 15:00,Arminia Bielefeld,Union Solingen,0,0,Bielefelder Alm,
8,09/20/1975 15:00,Wuppertaler SV,DJK Gütersloh,4,1,Stadion am Zoo,
8,09/20/1975 15:00,Schwarz-Weiß Essen,FC St. Pauli,4,0,Grugastadion,
8,09/20/1975 15:00,VfL Osnabrück,Spandauer SV 1894,3,1,Piepenbrock-Stadion an der Bremer Brücke,
9,09/27/1975 15:00,Bayer 04 Leverkusen,Schwarz-Weiß Essen,0,1,Kleines Haberland-Stadion,
9,09/27/1975 15:00,Spandauer SV 1894,Wacker 04 Berlin,2,3,Stadion an der Neuendorfer Straße,
9,09/27/1975 15:00,Union Solingen,VfL Osnabrück,1,1,Stadion am Hermann-Löns-Weg,
9,09/27/1975 15:00,1. SC Göttingen 05,Borussia Dortmund,3,0,Jahnstadion Göttingen,
9,09/27/1975 15:00,FC St. Pauli,SC Westfalia Herne,1,3,Wilhelm-Koch-Stadion,
9,09/27/1975 15:00,SG Wattenscheid 09,Alemannia Aachen,3,1,Lohrheidestadion,
9,09/27/1975 15:00,SC Preußen Münster,Arminia Bielefeld,1,1,Preußenstadion,
9,09/27/1975 15:00,Fortuna Köln,Wuppertaler SV,0,4,Müngersdorfer Stadion (1923-1973),
9,09/27/1975 15:00,DJK Gütersloh,1. FC Mülheim,1,1,Heidewaldstadion,
