round,date,home_team,away_team,home_score,away_score,stadium,stage
1,07/29/1989 15:00,1. FC Saarbrücken,Stuttgarter Kickers,1,0,Ludwigspark,
1,07/29/1989 15:00,SC Freiburg,SpVgg Unterhaching,2,3,Dreisamstadion,
1,07/29/1989 15:00,VfL Osnabrück,SV Meppen,1,1,Piepenbrock-Stadion an der Bremer Brücke,
1,07/29/1989 15:00,Rot-Weiss Essen,FC Schalke 04,0,0,Georg-Melches-Stadion,
1,07/29/1989 15:00,Alemannia Aachen,MSV Duisburg,1,2,Tivoli (alt),
1,07/29/1989 15:00,Kasseler Sportverein Hessen,Blau-Weiß 90 Berlin,1,1,Auestadion,
1,07/29/1989 15:00,SG Wattenscheid 09,SpVgg Bayreuth,4,1,Lohrheidestadion,
1,07/29/1989 15:00,Fortuna Köln,SV Darmstadt 98,2,1,Kölner Südstadion,
1,07/29/1989 15:00,Hertha BSC,SC Preußen Münster,2,0,Olympiastadion,
1,07/29/1989 15:00,Eintracht Braunschweig,Hannover 96,1,0,Städtisches Stadion an der Hamburger Straße,
2,08/06/1989 15:00,Stuttgarter Kickers,SG Wattenscheid 09,2,3,Waldaustadion,
2,08/06/1989 15:00,SC Preußen Münster,Kasseler Sportverein Hessen,1,1,Preußenstadion,
2,08/06/1989 15:00,SV Darmstadt 98,Hertha BSC,0,0,Böllenfalltor,
2,08/06/1989 15:00,SpVgg Bayreuth,Fortuna Köln,2,2,Städtisches Stadion Bayreuth,
2,08/06/1989 15:00,MSV Duisburg,1. FC Saarbrücken,1,1,Wedaustadion,
2,08/06/1989 15:00,Hannover 96,Alemannia Aachen,2,0,Niedersachsenstadion,
2,08/06/1989 15:00,FC Schalke 04,Eintracht Braunschweig,1,5,Parkstadion,
2,08/06/1989 15:00,Blau-Weiß 90 Berlin,SC Freiburg,3,1,Platz an der Rathausstraße,
2,08/06/1989 15:00,SV Meppen,Rot-Weiss Essen,3,2,Hindenburgstadion,
2,08/06/1989 15:00,SpVgg Unterhaching,VfL Osnabrück,2,2,Sportpark Unterhaching,
3,08/12/1989 15:00,1. FC Saarbrücken,Hannover 96,2,0,Ludwigspark,
3,08/12/1989 15:00,SC Preußen Münster,SV Darmstadt 98,1,0,Preußenstadion,
3,08/12/1989 15:00,Kasseler Sportverein Hessen,SC Freiburg,2,5,Auestadion,
3,08/12/1989 15:00,Eintracht Braunschweig,SV Meppen,3,0,Städtisches Stadion an der Hamburger Straße,
3,08/12/1989 15:00,Alemannia Aachen,FC Schalke 04,0,4,Tivoli (alt),
3,08/12/1989 15:00,Fortuna Köln,Stuttgarter Kickers,0,1,Kölner Südstadion,
3,08/12/1989 15:00,Hertha BSC,SpVgg Bayreuth,1,0,Olympiastadion,
3,08/12/1989 15:00,Rot-Weiss Essen,SpVgg Unterhaching,1,1,Georg-Melches-Stadion,
3,08/12/1989 15:00,VfL Osnabrück,Blau-Weiß 90 Berlin,2,5,Piepenbrock-Stadion an der Bremer Brücke,
3,08/12/1989 15:00,SG Wattenscheid 09,MSV Duisburg,2,0,Lohrheidestadion,
4,08/16/1989 19:30,SpVgg Unterhaching,Eintracht Braunschweig,1,1,Sportpark Unterhaching,
4,08/16/1989 19:30,MSV Duisburg,Fortuna Köln,0,2,Wedaustadion,
4,08/16/1989 19:30,Blau-Weiß 90 Berlin,Rot-Weiss Essen,2,0,Olympiastadion,
4,08/16/1989 19:30,SpVgg Bayreuth,SC Preußen Münster,2,1,Städtisches Stadion Bayreuth,
4,08/16/1989 19:30,Hannover 96,SG Wattenscheid 09,0,3,Niedersachsenstadion,
4,08/16/1989 19:30,SV Meppen,Alemannia Aachen,1,1,Hindenburgstadion,
4,08/16/1989 19:30,SC Freiburg,VfL Osnabrück,3,1,Dreisamstadion,
4,08/16/1989 19:30,SV Darmstadt 98,Kasseler Sportverein Hessen,0,1,Böllenfalltor,
4,08/16/1989 19:30,Stuttgarter Kickers,Hertha BSC,4,2,Waldaustadion,
4,08/16/1989 19:30,FC Schalke 04,1. FC Saarbrücken,1,2,Parkstadion,
5,08/23/1989 19:30,SG Wattenscheid 09,FC Schalke 04,3,1,Lohrheidestadion,
5,08/23/1989 19:30,Rot-Weiss Essen,SC Freiburg,0,1,Georg-Melches-Stadion,
5,08/23/1989 19:30,Kasseler Sportverein Hessen,VfL Osnabrück,1,5,Auestadion,
5,08/23/1989 19:30,SC Preußen Münster,Stuttgarter Kickers,1,1,Preußenstadion,
5,08/23/1989 19:30,SV Darmstadt 98,SpVgg Bayreuth,3,1,Böllenfalltor,
5,08/23/1989 19:30,Hertha BSC,MSV Duisburg,2,1,Olympiastadion,
5,08/23/1989 19:30,1. FC Saarbrücken,SV Meppen,4,0,Ludwigspark,
5,08/23/1989 19:30,Alemannia Aachen,SpVgg Unterhaching,2,0,Tivoli (alt),
5,08/23/1989 19:30,Fortuna Köln,Hannover 96,2,1,Kölner Südstadion,
5,08/23/1989 19:30,Eintracht Braunschweig,Blau-Weiß 90 Berlin,2,0,Städtisches Stadion an der Hamburger Straße,
