round,date,home_team,away_team,home_score,away_score,stadium,stage
1,07/21/1989 13:30,SK Raika Sturm Graz,FC Admira/Wacker,3,0,Gruabn,
1,07/21/1989 18:30,SV Austria Salzburg,Grazer AK,0,0,SAK-Platz,
1,07/21/1989 19:30,SK Rapid Wien,VSE St. Pölten,3,0,Gerhard Hanappi-Stadion,
1,07/22/1989 16:00,Wiener Sport-Club,FK Austria Memphis,0,1,Dornbach,
1,07/22/1989 16:00,Kremser SC,First Vienna FC 1894,3,1,Krems,
1,07/22/1989 16:00,SK Vorwärts Steyr,FC Swarovski Tirol,2,2,Vorwärts-Stadion,
2,07/25/1989 19:00,VSE St. Pölten,Wiener Sport-Club,2,3,Stadion Voithplatz,
2,07/25/1989 19:30,FC Swarovski Tirol,SK Raika Sturm Graz,2,2,Tivoli Stadion,
2,07/25/1989 19:30,FK Austria Memphis,Kremser SC,3,0,Franz Horr Stadion,
2,07/25/1989 19:30,FC Admira/Wacker,SK Rapid Wien,4,1,Bundesstadion Südstadt,
2,07/26/1989 18:30,Grazer AK,SK Vorwärts Steyr,2,0,GAK-Platz,
2,07/26/1989 19:30,First Vienna FC 1894,SV Austria Salzburg,3,2,Stadion Hohe Warte,
3,07/28/1989 18:30,SK Vorwärts Steyr,First Vienna FC 1894,2,2,Vorwärts-Stadion,
3,07/28/1989 19:00,VSE St. Pölten,FC Admira/Wacker,1,2,Stadion Voithplatz,
3,07/28/1989 19:30,SK Rapid Wien,FC Swarovski Tirol,0,2,Gerhard Hanappi-Stadion,
3,07/29/1989 16:00,SV Austria Salzburg,FK Austria Memphis,2,2,SAK-Platz,
3,07/29/1989 16:00,SK Raika Sturm Graz,Grazer AK,0,1,Gruabn,
3,07/29/1989 16:00,Wiener Sport-Club,Kremser SC,0,2,Dornbach,
4,08/01/1989 18:30,Grazer AK,SK Rapid Wien,0,3,GAK-Platz,
4,08/01/1989 19:30,FC Swarovski Tirol,VSE St. Pölten,1,1,Tivoli Stadion,
4,08/01/1989 19:30,Kremser SC,SV Austria Salzburg,0,1,Krems,
4,08/01/1989 19:30,First Vienna FC 1894,SK Raika Sturm Graz,1,1,Stadion Hohe Warte,
