round,date,home_team,away_team,home_score,away_score,stadium,stage
1,07/21/2017 20:30,Karlsruher SC,VfL Osnabrück,2,2,Wildparkstadion,
1,07/22/2017 14:00,SV Werder Bremen II,SpVgg Unterhaching,3,0,Weserstadion - Platz 11,
1,07/22/2017 14:00,Rot-Weiß Erfurt,SC Preußen Münster,1,1,Steigerwaldstadion,
1,07/22/2017 14:00,Sportfreunde Lotte,Hansa Rostock,0,2,Frimo Stadion,
1,07/22/2017 14:00,Hallescher FC,SC Paderborn 07,4,4,Erdgas Sportpark,
1,07/22/2017 14:00,Fortuna Köln,VfR Aalen,1,0,Kölner Südstadion,
1,07/22/2017 14:00,SV Wehen Wiesbaden,FC Carl Zeiss Jena,1,0,Brita-Arena,
1,07/22/2017 14:00,SV Meppen,FC Würzburger Kickers,2,2,Hänsch-Arena,
1,07/23/2017 14:00,SG Sonnenhof Großaspach,1. FC Magdeburg,4,1,mechatronik Arena,
1,07/23/2017 14:00,Chemnitzer FC,FSV Zwickau,1,0,Community4you-Arena,
2,07/28/2017 19:00,VfL Osnabrück,SV Wehen Wiesbaden,0,4,Bremer Brücke,
2,07/28/2017 19:00,SpVgg Unterhaching,Karlsruher SC,3,2,Alpenbauer Sportpark,
2,07/29/2017 14:00,FC Carl Zeiss Jena,Fortuna Köln,0,2,Ernst-Abbe-Sportfeld,
2,07/29/2017 14:00,VfR Aalen,Hallescher FC,2,1,Ostalb-Arena,
2,07/29/2017 14:00,SC Paderborn 07,Chemnitzer FC,3,2,Benteler-Arena,
2,07/29/2017 14:00,FSV Zwickau,Sportfreunde Lotte,1,1,Stadion Zwickau,
2,07/29/2017 14:00,Hansa Rostock,SG Sonnenhof Großaspach,0,0,Ostseestadion,
2,07/29/2017 14:00,1. FC Magdeburg,Rot-Weiß Erfurt,3,0,MDCC-Arena,
2,07/29/2017 14:00,SC Preußen Münster,SV Meppen,3,0,Preußenstadion,
2,07/30/2017 14:00,FC Würzburger Kickers,SV Werder Bremen II,1,1,flyeralarm Arena,
3,08/01/2017 19:00,Rot-Weiß Erfurt,Hansa Rostock,0,1,Steigerwaldstadion,
3,08/01/2017 19:00,SG Sonnenhof Großaspach,FSV Zwickau,2,0,mechatronik Arena,
3,08/01/2017 19:00,Sportfreunde Lotte,SC Paderborn 07,1,2,Frimo Stadion,
3,08/01/2017 19:00,Hallescher FC,FC Carl Zeiss Jena,0,2,Erdgas Sportpark,
