round,date,home_team,away_team,home_score,away_score,stadium,stage
1,07/22/2017 16:00,SK Rapid Wien,SV Mattersburg,2,2,Allianz Stadion,
1,07/22/2017 18:30,RZ Pellets WAC,FC Red Bull Salzburg,0,2,Lavanttal-Arena,
1,07/22/2017 18:30,LASK,FC Flyeralarm Admira,3,0,TGW Arena,
1,07/23/2017 16:30,CASHPOINT SCR Altach,FK Austria Wien,3,0,CASHPOINT Arena,
1,07/23/2017 19:00,SK Puntigamer Sturm Graz,SKN St. Pölten,3,2,Merkur Arena,
2,07/29/2017 16:00,FC Red Bull Salzburg,LASK,1,1,Red Bull Arena,
2,07/29/2017 18:30,SV Mattersburg,RZ Pellets WAC,1,0,Pappelstadion,
2,07/29/2017 18:30,SKN St. Pölten,SK Rapid Wien,1,4,NV Arena,
2,07/30/2017 16:00,FK Austria Wien,SK Puntigamer Sturm Graz,2,3,Ernst Happel-Stadion,
2,07/30/2017 18:30,FC Flyeralarm Admira,CASHPOINT SCR Altach,4,1,BSFZ-Arena,
3,08/05/2017 16:00,LASK,SKN St. Pölten,2,0,TGW Arena,
3,08/05/2017 18:30,FC Red Bull Salzburg,FC Flyeralarm Admira,5,1,Red Bull Arena,
3,08/06/2017 16:30,SK Rapid Wien,FK Austria Wien,2,2,Allianz Stadion,
3,08/06/2017 16:30,RZ Pellets WAC,CASHPOINT SCR Altach,1,0,Lavanttal-Arena,
3,08/06/2017 19:00,SV Mattersburg,SK Puntigamer Sturm Graz,2,3,Pappelstadion,
4,08/12/2017 16:00,CASHPOINT SCR Altach,FC Red Bull Salzburg,0,1,CASHPOINT Arena,
4,08/12/2017 18:30,FK Austria Wien,LASK,2,0,Ernst Happel-Stadion,
4,08/12/2017 18:30,SK Puntigamer Sturm Graz,RZ Pellets WAC,2,1,Merkur Arena,
4,08/12/2017 18:30,SKN St. Pölten,SV Mattersburg,0,0,NV Arena,
4,08/13/2017 16:30,FC Flyeralarm Admira,SK Rapid Wien,3,1,BSFZ-Arena,
5,08/19/2017 16:00,SK Rapid Wien,SK Puntigamer Sturm Graz,1,2,Allianz Stadion,
5,08/19/2017 18:30,RZ Pellets WAC,FC Flyeralarm Admira,2,0,Lavanttal-Arena,
5,08/20/2017 16:30,FC Red Bull Salzburg,SKN St. Pölten,5,1,Red Bull Arena,
5,08/20/2017 16:30,LASK,CASHPOINT SCR Altach,0,0,TGW Arena,
5,08/20/2017 19:00,SV Mattersburg,FK Austria Wien,1,3,Pappelstadion,
6,08/26/2017 16:00,RZ Pellets WAC,SKN St. Pölten,2,1,Lavanttal-Arena,
6,08/26/2017 18:30,SK Rapid Wien,LASK,1,0,Allianz Stadion,
6,08/27/2017 16:30,SK Puntigamer Sturm Graz,FC Red Bull Salzburg,1,0,Merkur Arena,
6,08/27/2017 16:30,CASHPOINT SCR Altach,SV Mattersburg,1,0,CASHPOINT Arena,
6,08/27/2017 19:00,FC Flyeralarm Admira,FK Austria Wien,1,3,BSFZ-Arena,
7,09/09/2017 16:00,LASK,SK Puntigamer Sturm Graz,2,1,TGW Arena,
7,09/09/2017 18:30,FK Austria Wien,RZ Pellets WAC,2,2,Ernst Happel-Stadion,
7,09/09/2017 18:30,SV Mattersburg,FC Flyeralarm Admira,0,5,Pappelstadion,
7,09/09/2017 18:30,SKN St. Pölten,CASHPOINT SCR Altach,1,2,NV Arena,
7,09/10/2017 16:30,FC Red Bull Salzburg,SK Rapid Wien,2,2,Red Bull Arena,
8,09/16/2017 16:00,CASHPOINT SCR Altach,SK Rapid Wien,2,2,CASHPOINT Arena,
8,09/16/2017 18:30,FC Flyeralarm Admira,SK Puntigamer Sturm Graz,2,1,BSFZ-Arena,
8,09/16/2017 18:30,RZ Pellets WAC,LASK,0,0,Lavanttal-Arena,
8,09/17/2017 16:30,SV Mattersburg,FC Red Bull Salzburg,1,2,Pappelstadion,
8,09/17/2017 19:00,FK Austria Wien,SKN St. Pölten,5,1,Ernst Happel-Stadion,
9,09/23/2017 16:00,SK Rapid Wien,RZ Pellets WAC,4,2,Allianz Stadion,
9,09/23/2017 18:30,SK Puntigamer Sturm Graz,CASHPOINT SCR Altach,0,0,Merkur Arena,
9,09/23/2017 18:30,SKN St. Pölten,FC Flyeralarm Admira,1,1,NV Arena,
9,09/23/2017 18:30,LASK,SV Mattersburg,2,2,TGW Arena,
9,09/24/2017 16:30,FC Red Bull Salzburg,FK Austria Wien,0,0,Red Bull Arena,
10,09/30/2017 16:00,SKN St. Pölten,SK Puntigamer Sturm Graz,0,3,NV Arena,
10,09/30/2017 18:30,SV Mattersburg,SK Rapid Wien,0,1,Pappelstadion,
10,09/30/2017 18:30,FC Flyeralarm Admira,LASK,4,2,BSFZ-Arena,
10,10/01/2017 16:30,FK Austria Wien,CASHPOINT SCR Altach,2,0,Ernst Happel-Stadion,
10,10/01/2017 19:00,FC Red Bull Salzburg,RZ Pellets WAC,2,1,Red Bull Arena,
11,10/14/2017 16:00,LASK,FC Red Bull Salzburg,1,3,TGW Arena,
11,10/14/2017 18:30,CASHPOINT SCR Altach,FC Flyeralarm Admira,2,2,CASHPOINT Arena,
11,10/14/2017 18:30,RZ Pellets WAC,SV Mattersburg,2,2,Lavanttal-Arena,
11,10/14/2017 18:30,SK Rapid Wien,SKN St. Pölten,1,0,Allianz Stadion,
11,10/15/2017 16:30,SK Puntigamer Sturm Graz,FK Austria Wien,3,0,Merkur Arena,
12,10/21/2017 16:00,SK Puntigamer Sturm Graz,SV Mattersburg,3,2,Merkur Arena,
12,10/21/2017 18:30,CASHPOINT SCR Altach,RZ Pellets WAC,3,2,CASHPOINT Arena,
12,10/21/2017 18:30,SKN St. Pölten,LASK,0,1,NV Arena,
12,10/22/2017 14:00,FC Flyeralarm Admira,FC Red Bull Salzburg,1,1,BSFZ-Arena,
12,10/22/2017 16:30,FK Austria Wien,SK Rapid Wien,0,1,Ernst Happel-Stadion,
13,10/28/2017 16:00,SK Rapid Wien,FC Flyeralarm Admira,1,0,Allianz Stadion,
13,10/28/2017 18:30,LASK,FK Austria Wien,2,2,TGW Arena,
13,10/28/2017 18:30,FC Red Bull Salzburg,CASHPOINT SCR Altach,2,0,Red Bull Arena,
13,10/28/2017 18:30,SV Mattersburg,SKN St. Pölten,1,1,Pappelstadion,
