round,date,home_team,away_team,home_score,away_score,stadium,stage
1,07/28/2017 18:00,FC Hradec Králové,FC MAS Táborsko,1,1,Všesportovní stadion,
1,07/28/2017 18:00,MFK Vítkovice,FK Ústí nad Labem,0,0,Městský stadion Ostrava-Vítkovice,
1,07/29/2017 10:15,FK Olympia,FK Pardubice,1,0,Stadion Evžena Rošického,
1,07/29/2017 17:00,1.FK Příbram,1.SC Znojmo FK,0,0,Energon Aréna,
1,07/29/2017 17:00,MFK Frýdek-Místek,Slezský FC Opava,1,1,Stadion Stovky,
1,07/30/2017 17:00,FC Sellier & Bellot Vlašim,FK Baník Sokolov,2,1,Stadion v Kollárově ulici,
1,07/30/2017 17:00,FK Varnsdorf,FK Fotbal Třinec,0,1,Městský stadion v Kotlině,
1,07/31/2017 18:00,SK Dynamo Č. Budějovice,FK Viktoria Žižkov,1,1,Fotbalový stadion Střelecký ostrov,
2,08/04/2017 18:00,FK Ústí nad Labem,FK Baník Sokolov,2,1,Městský stadion v Ústí nad Labem,
2,08/04/2017 19:30,1.SC Znojmo FK,FC Hradec Králové,1,3,Městský stadion v Horním parku Znojmo,
2,08/05/2017 10:15,FK Pardubice,MFK Frýdek-Místek,1,0,Stadion Pod Vinicí,
2,08/05/2017 10:15,FK Fotbal Třinec,1.FK Příbram,2,1,Stadion Rudolfa Labaje,
2,08/05/2017 14:30,Slezský FC Opava,MFK Vítkovice,6,2,Městský stadion Opava,
2,08/05/2017 17:00,FC MAS Táborsko,FK Olympia,2,2,Hřiště v Kvapilově ulici,
2,08/06/2017 10:15,FK Viktoria Žižkov,FK Varnsdorf,0,0,Seifertova ulice,
2,08/06/2017 17:00,FC Sellier & Bellot Vlašim,SK Dynamo Č. Budějovice,0,2,Stadion v Kollárově ulici,
3,08/11/2017 18:00,MFK Vítkovice,1.SC Znojmo FK,1,1,Městský stadion Ostrava-Vítkovice,
3,08/11/2017 18:00,FK Ústí nad Labem,Slezský FC Opava,2,5,Městský stadion v Ústí nad Labem,
3,08/12/2017 10:15,FK Olympia,FK Viktoria Žižkov,2,2,Stadion Evžena Rošického,
3,08/12/2017 17:00,1.FK Příbram,FC Sellier & Bellot Vlašim,2,3,Energon Aréna,
3,08/12/2017 17:00,MFK Frýdek-Místek,FK Fotbal Třinec,1,0,Stadion Stovky,
3,08/13/2017 15:00,FK Baník Sokolov,FC MAS Táborsko,3,3,Stadion FK Baník Sokolov,
3,08/13/2017 17:00,FK Varnsdorf,SK Dynamo Č. Budějovice,2,3,Městský stadion v Kotlině,
3,08/14/2017 18:00,FC Hradec Králové,FK Pardubice,2,1,Všesportovní stadion,
4,08/18/2017 19:30,1.SC Znojmo FK,MFK Frýdek-Místek,2,1,Městský stadion v Horním parku Znojmo,
4,08/19/2017 10:15,FK Pardubice,FK Ústí nad Labem,3,1,Stadion Pod Vinicí,
4,08/19/2017 10:15,FK Fotbal Třinec,FK Olympia,2,0,Stadion Rudolfa Labaje,
4,08/19/2017 17:00,FC MAS Táborsko,1.FK Příbram,0,2,Hřiště v Kvapilově ulici,
4,08/19/2017 18:00,Slezský FC Opava,FK Baník Sokolov,0,0,Městský stadion Opava,
4,08/20/2017 10:15,FK Viktoria Žižkov,MFK Vítkovice,5,0,Seifertova ulice,
4,08/20/2017 17:00,FC Sellier & Bellot Vlašim,FK Varnsdorf,4,1,Stadion v Kollárově ulici,
4,08/20/2017 17:00,SK Dynamo Č. Budějovice,FC Hradec Králové,4,1,Fotbalový stadion Střelecký ostrov,
5,08/22/2017 18:00,Slezský FC Opava,FC MAS Táborsko,2,1,Městský stadion Opava,
5,08/23/2017 16:30,FK Olympia,SK Dynamo Č. Budějovice,0,0,Stadion Evžena Rošického,
5,08/23/2017 17:00,1.FK Příbram,FK Varnsdorf,3,1,Energon Aréna,
5,08/23/2017 17:00,MFK Frýdek-Místek,FC Sellier & Bellot Vlašim,1,1,Stadion Stovky,
5,08/23/2017 17:00,FK Baník Sokolov,FK Fotbal Třinec,1,0,Stadion FK Baník Sokolov,
5,08/23/2017 18:00,FC Hradec Králové,FK Viktoria Žižkov,4,1,Všesportovní stadion,
5,08/23/2017 18:00,MFK Vítkovice,FK Pardubice,0,1,Městský stadion Ostrava-Vítkovice,
5,08/23/2017 18:00,FK Ústí nad Labem,1.SC Znojmo FK,4,0,Městský stadion v Ústí nad Labem,
6,08/26/2017 10:15,FK Pardubice,FK Baník Sokolov,2,1,Stadion Pod Vinicí,
6,08/27/2017 10:15,FK Viktoria Žižkov,1.FK Příbram,1,1,Seifertova ulice,
6,08/27/2017 17:00,FK Fotbal Třinec,FC Hradec Králové,0,0,Stadion Rudolfa Labaje,
6,08/27/2017 17:00,FC Sellier & Bellot Vlašim,FK Olympia,0,1,Stadion v Kollárově ulici,
