round,date,home_team,away_team,home_score,away_score,stadium,stage
1,07/25/2008 20:30,Rot-Weiß Erfurt,SG Dynamo Dresden,0,1,Steigerwaldstadion,
1,07/26/2008 14:00,SV Wacker Burghausen,Stuttgarter Kickers,2,0,Wacker-Arena,
1,07/26/2008 14:00,Kickers Emden,Wuppertaler SV Borussia,1,0,Ostfriesland-Stadion,
1,07/26/2008 14:00,Erzgebirge Aue,Eintracht Braunschweig,0,2,Erzgebirgestadion,
1,07/26/2008 14:00,Jahn Regensburg,FC Carl Zeiss Jena,2,2,Jahn-Stadion,
1,07/26/2008 14:00,SV Sandhausen,VfR Aalen,1,2,BWT-Stadion am Hardtwald,
1,07/26/2008 14:00,SpVgg Unterhaching,SV Werder Bremen II,3,0,Sportpark Unterhaching,
1,07/26/2008 14:00,VfB Stuttgart,Kickers Offenbach,1,1,Mercedes-Benz-Arena,
1,07/27/2008 14:00,Bayern München II,1. FC Union Berlin,2,1,Stadion an der Grünwalder Straße,
1,07/27/2008 14:00,Fortuna Düsseldorf,SC Paderborn 07,1,4,LTU Arena,
2,08/02/2008 14:00,SC Paderborn 07,SpVgg Unterhaching,1,1,paragon arena,
2,08/02/2008 14:00,Wuppertaler SV Borussia,Bayern München II,2,2,Stadion am Zoo,
2,08/02/2008 14:00,1. FC Union Berlin,VfB Stuttgart,3,1,Friedrich-Ludwig-Jahn-Sportpark,
2,08/02/2008 14:00,Kickers Offenbach,SV Wacker Burghausen,2,0,Bieberer Berg,
2,08/02/2008 14:00,Stuttgarter Kickers,Fortuna Düsseldorf,0,2,Gazi-Stadion auf der Waldau,
2,08/02/2008 14:00,VfR Aalen,Jahn Regensburg,1,1,Scholz-Arena,
2,08/02/2008 15:30,FC Carl Zeiss Jena,Erzgebirge Aue,3,2,Ernst-Abbe-Sportfeld,
2,08/03/2008 14:00,Eintracht Braunschweig,Rot-Weiß Erfurt,1,1,Eintracht-Stadion,
2,08/09/2008 14:00,SV Werder Bremen II,SV Sandhausen,4,3,Weserstadion - Platz 11,
2,08/13/2008 18:00,SG Dynamo Dresden,Kickers Emden,1,2,Rudolf-Harbig-Stadion,
3,08/15/2008 19:30,Rot-Weiß Erfurt,FC Carl Zeiss Jena,2,1,Steigerwaldstadion,
3,08/16/2008 14:00,Bayern München II,SG Dynamo Dresden,1,0,Stadion an der Grünwalder Straße,
3,08/16/2008 14:00,Erzgebirge Aue,VfR Aalen,0,0,Erzgebirgestadion,
3,08/16/2008 14:00,Jahn Regensburg,SV Werder Bremen II,1,0,Jahn-Stadion,
3,08/16/2008 14:00,SV Sandhausen,SC Paderborn 07,4,0,BWT-Stadion am Hardtwald,
3,08/16/2008 14:00,Kickers Offenbach,1. FC Union Berlin,1,1,Bieberer Berg,
3,08/16/2008 14:00,VfB Stuttgart,Wuppertaler SV Borussia,2,0,Gazi-Stadion auf der Waldau,
3,08/16/2008 14:00,SV Wacker Burghausen,Fortuna Düsseldorf,0,4,Wacker-Arena,
3,08/17/2008 14:00,Kickers Emden,Eintracht Braunschweig,1,0,Ostfriesland-Stadion,
3,08/17/2008 14:00,SpVgg Unterhaching,Stuttgarter Kickers,2,0,Sportpark Unterhaching,
4,08/22/2008 19:30,1. FC Union Berlin,SV Wacker Burghausen,4,0,Friedrich-Ludwig-Jahn-Sportpark,
4,08/23/2008 14:00,VfR Aalen,Rot-Weiß Erfurt,0,2,Scholz-Arena,
4,08/23/2008 14:00,FC Carl Zeiss Jena,Kickers Emden,1,1,Ernst-Abbe-Sportfeld,
4,08/23/2008 14:00,Eintracht Braunschweig,Bayern München II,0,1,Eintracht-Stadion,
4,08/23/2008 14:00,SG Dynamo Dresden,VfB Stuttgart,1,0,Rudolf-Harbig-Stadion,
4,08/23/2008 14:00,Wuppertaler SV Borussia,Kickers Offenbach,2,1,Stadion am Zoo,
4,08/23/2008 14:00,Fortuna Düsseldorf,SpVgg Unterhaching,0,0,LTU Arena,
4,08/23/2008 14:00,SC Paderborn 07,Jahn Regensburg,3,1,paragon arena,
4,08/24/2008 14:00,SV Werder Bremen II,Erzgebirge Aue,4,2,Weserstadion - Platz 11,
4,08/24/2008 14:00,Stuttgarter Kickers,SV Sandhausen,0,1,Gazi-Stadion auf der Waldau,
5,08/29/2008 19:00,Bayern München II,FC Carl Zeiss Jena,2,1,Stadion an der Grünwalder Straße,
