round,date,home_team,away_team,home_score,away_score,stadium,stage
1,07/10/2001 19:30,Liebherr GAK,FC Tirol Innsbruck,0,2,Arnold Schwarzenegger Stadion,
1,07/11/2001 19:00,SV Wüstenrot Salzburg,FK Austria Memphis Magna,0,0,Lehener Stadion,
1,07/11/2001 19:30,Casino SW Bregenz,VfB Herold Admira Wacker Mödling,1,0,Casino-Stadion,
1,07/11/2001 19:30,FC Kärnten,SV Josko Ried,1,2,Wörthersee Stadion (alt),
1,07/11/2001 20:30,SK Rapid Wien,SK Puntigamer Sturm Graz,3,1,Gerhard Hanappi-Stadion,
2,07/17/2001 19:30,SK Puntigamer Sturm Graz,SV Wüstenrot Salzburg,1,0,Arnold Schwarzenegger Stadion,
2,07/18/2001 18:00,FC Tirol Innsbruck,Casino SW Bregenz,5,0,Tivoli-Neu,
2,07/18/2001 19:30,VfB Herold Admira Wacker Mödling,FC Kärnten,0,1,Bundesstadion Südstadt,
2,07/18/2001 19:30,FK Austria Memphis Magna,Liebherr GAK,2,3,Franz Horr Stadion,
2,07/18/2001 19:30,SV Josko Ried,SK Rapid Wien,2,2,Stadion der Stadt Ried,
3,07/24/2001 19:00,SV Wüstenrot Salzburg,FC Tirol Innsbruck,0,0,Lehener Stadion,
3,07/24/2001 19:30,FC Kärnten,SK Rapid Wien,3,0,Wörthersee Stadion (alt),
3,07/25/2001 18:30,Casino SW Bregenz,SV Josko Ried,0,3,Casino-Stadion,
3,07/25/2001 19:30,Liebherr GAK,VfB Herold Admira Wacker Mödling,3,0,Arnold Schwarzenegger Stadion,
3,07/25/2001 20:30,FK Austria Memphis Magna,SK Puntigamer Sturm Graz,1,1,Franz Horr Stadion,
4,07/28/2001 17:15,SK Puntigamer Sturm Graz,FC Kärnten,3,0,Arnold Schwarzenegger Stadion,
4,07/28/2001 19:30,VfB Herold Admira Wacker Mödling,SV Wüstenrot Salzburg,1,2,Bundesstadion Südstadt,
4,07/28/2001 19:30,SK Rapid Wien,Casino SW Bregenz,3,1,Gerhard Hanappi-Stadion,
4,07/28/2001 19:30,SV Josko Ried,Liebherr GAK,2,2,Stadion der Stadt Ried,
4,07/29/2001 16:30,FC Tirol Innsbruck,FK Austria Memphis Magna,1,0,Tivoli-Neu,
5,07/31/2001 19:00,SV Wüstenrot Salzburg,SK Rapid Wien,0,1,Lehener Stadion,
5,08/01/2001 18:00,Casino SW Bregenz,SK Puntigamer Sturm Graz,0,5,Casino-Stadion,
5,08/01/2001 19:30,FK Austria Memphis Magna,SV Josko Ried,3,3,Franz Horr Stadion,
5,08/01/2001 19:30,Liebherr GAK,FC Kärnten,5,0,Arnold Schwarzenegger Stadion,
5,08/01/2001 19:30,FC Tirol Innsbruck,VfB Herold Admira Wacker Mödling,6,0,Tivoli-Neu,
6,08/04/2001 19:30,VfB Herold Admira Wacker Mödling,FK Austria Memphis Magna,2,4,Bundesstadion Südstadt,
6,08/04/2001 19:30,FC Kärnten,Casino SW Bregenz,1,1,Wörthersee Stadion (alt),
6,08/04/2001 19:30,SV Josko Ried,SV Wüstenrot Salzburg,1,2,Stadion der Stadt Ried,
6,08/05/2001 16:30,SK Rapid Wien,Liebherr GAK,0,4,Gerhard Hanappi-Stadion,
6,02/19/2002 19:30,SK Puntigamer Sturm Graz,FC Tirol Innsbruck,0,1,Arnold Schwarzenegger Stadion,
7,08/11/2001 17:15,FC Tirol Innsbruck,SV Josko Ried,0,0,Tivoli-Neu,
7,08/11/2001 19:00,SV Wüstenrot Salzburg,FC Kärnten,1,2,Lehener Stadion,
7,08/11/2001 19:30,VfB Herold Admira Wacker Mödling,SK Puntigamer Sturm Graz,1,2,Bundesstadion Südstadt,
7,08/12/2001 16:30,FK Austria Memphis Magna,SK Rapid Wien,2,1,Franz Horr Stadion,
7,08/12/2001 19:00,Liebherr GAK,Casino SW Bregenz,0,0,Arnold Schwarzenegger Stadion,
8,08/18/2001 17:15,SK Rapid Wien,FC Tirol Innsbruck,0,2,Ernst Happel-Stadion,
8,08/18/2001 18:30,Casino SW Bregenz,SV Wüstenrot Salzburg,2,2,Casino-Stadion,
8,08/18/2001 19:30,FC Kärnten,FK Austria Memphis Magna,0,0,Wörthersee Stadion (alt),
8,08/18/2001 19:30,SV Josko Ried,VfB Herold Admira Wacker Mödling,2,3,Stadion der Stadt Ried,
8,08/19/2001 16:30,SK Puntigamer Sturm Graz,Liebherr GAK,2,0,Arnold Schwarzenegger Stadion,
9,08/25/2001 17:15,FK Austria Memphis Magna,Casino SW Bregenz,1,0,Franz Horr Stadion,
9,08/25/2001 19:30,SK Puntigamer Sturm Graz,SV Josko Ried,2,0,Arnold Schwarzenegger Stadion,
9,08/25/2001 19:30,FC Tirol Innsbruck,FC Kärnten,3,0,Tivoli-Neu,
9,08/26/2001 16:30,SV Wüstenrot Salzburg,Liebherr GAK,2,1,Lehener Stadion,
9,08/26/2001 19:30,VfB Herold Admira Wacker Mödling,SK Rapid Wien,0,0,Bundesstadion Südstadt,
10,09/08/2001 15:00,Casino SW Bregenz,FK Austria Memphis Magna,2,2,Casino-Stadion,
10,09/08/2001 15:30,SK Rapid Wien,VfB Herold Admira Wacker Mödling,0,1,Gerhard Hanappi-Stadion,
10,09/08/2001 19:30,Liebherr GAK,SV Wüstenrot Salzburg,1,1,Arnold Schwarzenegger Stadion,
10,09/09/2001 16:30,SV Josko Ried,SK Puntigamer Sturm Graz,2,2,Stadion der Stadt Ried,
10,03/06/2002 19:30,FC Kärnten,FC Tirol Innsbruck,0,2,Wörthersee Stadion (alt),
11,09/15/2001 15:30,VfB Herold Admira Wacker Mödling,Casino SW Bregenz,1,3,Bundesstadion Südstadt,
11,09/15/2001 15:30,SV Josko Ried,FC Kärnten,1,1,Stadion der Stadt Ried,
11,09/15/2001 17:15,FK Austria Memphis Magna,SV Wüstenrot Salzburg,0,1,Franz Horr Stadion,
11,09/16/2001 15:30,FC Tirol Innsbruck,Liebherr GAK,7,0,Tivoli-Neu,
11,09/16/2001 16:30,SK Puntigamer Sturm Graz,SK Rapid Wien,1,1,Arnold Schwarzenegger Stadion,
12,09/22/2001 15:30,Casino SW Bregenz,FC Tirol Innsbruck,1,2,Casino-Stadion,
12,09/22/2001 17:15,SV Wüstenrot Salzburg,SK Puntigamer Sturm Graz,0,2,Lehener Stadion,
12,09/23/2001 15:30,FC Kärnten,VfB Herold Admira Wacker Mödling,2,0,Wörthersee Stadion (alt),
12,09/23/2001 15:30,SK Rapid Wien,SV Josko Ried,2,0,Gerhard Hanappi-Stadion,
12,09/23/2001 16:30,Liebherr GAK,FK Austria Memphis Magna,4,2,Arnold Schwarzenegger Stadion,
13,09/29/2001 15:30,SV Josko Ried,Casino SW Bregenz,2,3,Stadion der Stadt Ried,
13,09/29/2001 15:30,FC Tirol Innsbruck,SV Wüstenrot Salzburg,3,0,Tivoli-Neu,
13,09/29/2001 17:15,SK Puntigamer Sturm Graz,FK Austria Memphis Magna,2,1,Arnold Schwarzenegger Stadion,
13,09/30/2001 15:30,VfB Herold Admira Wacker Mödling,Liebherr GAK,1,3,Bundesstadion Südstadt,
13,09/30/2001 16:30,SK Rapid Wien,FC Kärnten,0,1,Gerhard Hanappi-Stadion,
14,10/10/2001 18:00,FC Kärnten,SK Puntigamer Sturm Graz,2,0,Wörthersee Stadion (alt),
14,10/10/2001 19:00,FK Austria Memphis Magna,FC Tirol Innsbruck,0,1,Franz Horr Stadion,
14,10/10/2001 19:00,Casino SW Bregenz,SK Rapid Wien,2,1,Casino-Stadion,
14,10/10/2001 19:00,Liebherr GAK,SV Josko Ried,3,0,Arnold Schwarzenegger Stadion,
14,10/10/2001 19:00,SV Wüstenrot Salzburg,VfB Herold Admira Wacker Mödling,2,0,Lehener Stadion,
15,10/13/2001 15:30,FC Kärnten,Liebherr GAK,3,2,Wörthersee Stadion (alt),
15,10/13/2001 15:30,SV Josko Ried,FK Austria Memphis Magna,1,0,Stadion der Stadt Ried,
15,10/13/2001 15:30,SK Puntigamer Sturm Graz,Casino SW Bregenz,3,0,Arnold Schwarzenegger Stadion,
15,10/13/2001 17:15,SK Rapid Wien,SV Wüstenrot Salzburg,1,0,Gerhard Hanappi-Stadion,
15,10/14/2001 16:30,VfB Herold Admira Wacker Mödling,FC Tirol Innsbruck,0,2,Bundesstadion Südstadt,
16,10/20/2001 15:30,FK Austria Memphis Magna,VfB Herold Admira Wacker Mödling,3,0,Franz Horr Stadion,
16,10/20/2001 15:30,SV Wüstenrot Salzburg,SV Josko Ried,2,0,Lehener Stadion,
16,10/20/2001 17:15,Casino SW Bregenz,FC Kärnten,2,0,Casino-Stadion,
16,10/21/2001 15:30,Liebherr GAK,SK Rapid Wien,1,0,Arnold Schwarzenegger Stadion,
16,10/21/2001 16:30,FC Tirol Innsbruck,SK Puntigamer Sturm Graz,0,0,Tivoli-Neu,
17,10/24/2001 19:00,SV Josko Ried,FC Tirol Innsbruck,0,2,Stadion der Stadt Ried,
17,11/21/2001 19:00,FC Kärnten,SV Wüstenrot Salzburg,1,1,Wörthersee Stadion (alt),
17,11/21/2001 19:00,SK Puntigamer Sturm Graz,VfB Herold Admira Wacker Mödling,1,1,Arnold Schwarzenegger Stadion,
17,11/21/2001 19:30,Casino SW Bregenz,Liebherr GAK,2,2,Casino-Stadion,
17,03/06/2002 18:00,SK Rapid Wien,FK Austria Memphis Magna,1,1,Gerhard Hanappi-Stadion,
18,11/03/2001 15:30,VfB Herold Admira Wacker Mödling,SV Josko Ried,0,2,Bundesstadion Südstadt,
18,11/03/2001 15:30,FK Austria Memphis Magna,FC Kärnten,2,0,Franz Horr Stadion,
18,11/03/2001 15:30,SV Wüstenrot Salzburg,Casino SW Bregenz,3,3,Lehener Stadion,
18,11/03/2001 17:15,Liebherr GAK,SK Puntigamer Sturm Graz,1,1,Arnold Schwarzenegger Stadion,
18,11/04/2001 16:30,FC Tirol Innsbruck,SK Rapid Wien,2,0,Tivoli-Neu,
19,11/28/2001 18:00,FC Kärnten,SK Puntigamer Sturm Graz,2,2,Wörthersee Stadion (alt),
19,11/28/2001 19:00,SV Wüstenrot Salzburg,FK Austria Memphis Magna,1,0,Lehener Stadion,
19,11/28/2001 19:30,VfB Herold Admira Wacker Mödling,FC Tirol Innsbruck,2,0,Bundesstadion Südstadt,
19,11/28/2001 19:30,Liebherr GAK,SV Josko Ried,4,1,Arnold Schwarzenegger Stadion,
19,11/28/2001 19:30,SK Rapid Wien,Casino SW Bregenz,2,2,Gerhard Hanappi-Stadion,
20,11/17/2001 15:30,FK Austria Memphis Magna,VfB Herold Admira Wacker Mödling,0,0,Franz Horr Stadion,
20,11/17/2001 15:30,Casino SW Bregenz,FC Kärnten,0,1,Casino-Stadion,
20,11/17/2001 15:30,SV Josko Ried,SK Rapid Wien,2,0,Stadion der Stadt Ried,
20,11/17/2001 17:15,FC Tirol Innsbruck,Liebherr GAK,0,1,Tivoli-Neu,
20,11/18/2001 16:30,SK Puntigamer Sturm Graz,SV Wüstenrot Salzburg,1,2,Arnold Schwarzenegger Stadion,
21,11/24/2001 15:30,VfB Herold Admira Wacker Mödling,SK Puntigamer Sturm Graz,3,4,Bundesstadion Südstadt,
21,11/24/2001 15:30,Liebherr GAK,Casino SW Bregenz,5,0,Arnold Schwarzenegger Stadion,
21,11/24/2001 15:30,SV Josko Ried,FC Tirol Innsbruck,0,1,Stadion der Stadt Ried,
21,11/24/2001 17:15,FC Kärnten,SV Wüstenrot Salzburg,3,1,Wörthersee Stadion (alt),
21,11/25/2001 16:00,SK Rapid Wien,FK Austria Memphis Magna,1,1,Gerhard Hanappi-Stadion,
