round,date,home_team,away_team,home_score,away_score,stadium,stage
1,08/16/1996 20:00,FC St. Pauli,Bayern München,1,2,Volksparkstadion,
1,08/16/1996 20:00,Borussia Mönchengladbach,Arminia Bielefeld,0,0,Bökelbergstadion,
1,08/17/1996 15:30,VfL Bochum,MSV Duisburg,1,0,Ruhrstadion,
1,08/17/1996 15:30,Bayer 04 Leverkusen,Borussia Dortmund,4,2,Ulrich-Haberland-Stadion,
1,08/17/1996 15:30,Hansa Rostock,Karlsruher SC,2,2,Ostseestadion,
1,08/17/1996 15:30,SC Freiburg,Werder Bremen,3,2,Dreisamstadion,
1,08/17/1996 15:30,VfB Stuttgart,FC Schalke 04,4,0,Gottlieb-Daimler-Stadion,
1,08/17/1996 15:30,TSV 1860 München,Hamburger SV,2,1,Olympiastadion,
1,08/18/1996 18:00,Fortuna Düsseldorf,1. FC Köln,0,3,Rheinstadion,
2,08/20/1996 18:00,Arminia Bielefeld,FC St. Pauli,1,2,Bielefelder Alm,
2,08/20/1996 19:30,Hamburger SV,SC Freiburg,5,1,Volksparkstadion,
2,08/20/1996 19:30,Werder Bremen,Hansa Rostock,1,1,Weserstadion,
2,08/20/1996 20:00,FC Schalke 04,Borussia Mönchengladbach,0,0,Parkstadion,
2,08/21/1996 19:30,Borussia Dortmund,Fortuna Düsseldorf,4,0,Westfalenstadion,
2,08/21/1996 19:30,Bayern München,VfL Bochum,1,1,Olympiastadion,
2,08/21/1996 19:30,MSV Duisburg,Bayer 04 Leverkusen,1,3,Wedaustadion,
2,08/21/1996 20:00,1. FC Köln,TSV 1860 München,1,0,Müngersdorfer Stadion,
2,09/17/1996 19:30,Karlsruher SC,VfB Stuttgart,0,2,Wildparkstadion,
3,08/23/1996 20:00,FC St. Pauli,FC Schalke 04,4,4,Wilhelm-Koch-Stadion,
3,08/23/1996 20:00,Hansa Rostock,Hamburger SV,0,1,Ostseestadion,
3,08/24/1996 15:30,SC Freiburg,1. FC Köln,1,3,Dreisamstadion,
3,08/24/1996 15:30,Borussia Mönchengladbach,Karlsruher SC,1,3,Bökelbergstadion,
3,08/24/1996 15:30,TSV 1860 München,Borussia Dortmund,1,3,Olympiastadion,
3,08/24/1996 15:30,VfB Stuttgart,Werder Bremen,2,1,Gottlieb-Daimler-Stadion,
3,08/24/1996 15:30,Bayer 04 Leverkusen,Fortuna Düsseldorf,0,1,Ulrich-Haberland-Stadion,
3,08/24/1996 15:30,VfL Bochum,Arminia Bielefeld,1,1,Ruhrstadion,
3,08/25/1996 18:00,MSV Duisburg,Bayern München,0,4,Wedaustadion,
4,08/27/1996 19:30,Borussia Dortmund,SC Freiburg,3,1,Westfalenstadion,
4,08/27/1996 19:30,Hamburger SV,VfB Stuttgart,0,4,Volksparkstadion,
4,08/27/1996 19:30,Werder Bremen,Borussia Mönchengladbach,1,0,Weserstadion,
4,08/27/1996 20:00,FC Schalke 04,VfL Bochum,1,1,Parkstadion,
4,08/28/1996 19:30,Karlsruher SC,FC St. Pauli,4,0,Wildparkstadion,
4,08/28/1996 19:30,Bayern München,Bayer 04 Leverkusen,4,2,Olympiastadion,
4,08/28/1996 19:30,Fortuna Düsseldorf,TSV 1860 München,0,0,Rheinstadion,
4,08/28/1996 19:30,1. FC Köln,Hansa Rostock,0,2,Müngersdorfer Stadion,
4,08/28/1996 20:00,Arminia Bielefeld,MSV Duisburg,1,1,Bielefelder Alm,
5,09/06/1996 19:30,SC Freiburg,Fortuna Düsseldorf,1,2,Dreisamstadion,
5,09/06/1996 20:00,Borussia Mönchengladbach,Hamburger SV,3,0,Bökelbergstadion,
5,09/07/1996 15:30,Bayer 04 Leverkusen,TSV 1860 München,3,0,Ulrich-Haberland-Stadion,
5,09/07/1996 15:30,Hansa Rostock,Borussia Dortmund,0,1,Ostseestadion,
5,09/07/1996 15:30,Bayern München,Arminia Bielefeld,1,0,Olympiastadion,
5,09/07/1996 15:30,VfL Bochum,Karlsruher SC,3,1,Ruhrstadion,
5,09/07/1996 15:30,FC St. Pauli,Werder Bremen,0,3,Wilhelm-Koch-Stadion,
5,09/07/1996 15:30,MSV Duisburg,FC Schalke 04,0,1,Wedaustadion,
5,09/08/1996 18:00,VfB Stuttgart,1. FC Köln,4,0,Gottlieb-Daimler-Stadion,
6,09/13/1996 20:00,Werder Bremen,VfL Bochum,5,1,Weserstadion,
6,09/13/1996 20:00,Fortuna Düsseldorf,Hansa Rostock,0,2,Rheinstadion,
6,09/14/1996 15:30,Borussia Dortmund,VfB Stuttgart,1,1,Westfalenstadion,
6,09/14/1996 15:30,Karlsruher SC,MSV Duisburg,1,0,Wildparkstadion,
6,09/14/1996 15:30,FC Schalke 04,Bayern München,1,1,Parkstadion,
6,09/14/1996 15:30,Arminia Bielefeld,Bayer 04 Leverkusen,0,1,Bielefelder Alm,
6,09/14/1996 15:30,TSV 1860 München,SC Freiburg,4,0,Olympiastadion,
6,09/14/1996 15:30,1. FC Köln,Borussia Mönchengladbach,4,0,Müngersdorfer Stadion,
6,09/15/1996 18:00,Hamburger SV,FC St. Pauli,3,0,Volksparkstadion,
7,09/20/1996 19:30,MSV Duisburg,Werder Bremen,3,2,Wedaustadion,
7,09/20/1996 20:00,Hansa Rostock,TSV 1860 München,2,4,Ostseestadion,
7,09/21/1996 15:30,Borussia Mönchengladbach,Borussia Dortmund,5,1,Bökelbergstadion,
7,09/21/1996 15:30,VfL Bochum,Hamburger SV,3,1,Ruhrstadion,
7,09/21/1996 15:30,FC St. Pauli,1. FC Köln,0,0,Wilhelm-Koch-Stadion,
7,09/21/1996 15:30,VfB Stuttgart,Fortuna Düsseldorf,0,2,Gottlieb-Daimler-Stadion,
7,09/21/1996 15:30,Arminia Bielefeld,FC Schalke 04,0,1,Bielefelder Alm,
7,09/21/1996 15:30,Bayern München,Karlsruher SC,1,0,Olympiastadion,
7,09/22/1996 18:00,Bayer 04 Leverkusen,SC Freiburg,5,3,Ulrich-Haberland-Stadion,
8,09/27/1996 20:00,Karlsruher SC,Arminia Bielefeld,5,2,Wildparkstadion,
8,09/27/1996 20:00,1. FC Köln,VfL Bochum,2,0,Müngersdorfer Stadion,
8,09/28/1996 15:30,Fortuna Düsseldorf,Borussia Mönchengladbach,1,0,Rheinstadion,
8,09/28/1996 15:30,Hamburger SV,MSV Duisburg,1,1,Volksparkstadion,
8,09/28/1996 15:30,Werder Bremen,Bayern München,3,0,Weserstadion,
8,09/28/1996 15:30,FC Schalke 04,Bayer 04 Leverkusen,1,2,Parkstadion,
8,09/28/1996 15:30,SC Freiburg,Hansa Rostock,1,0,Dreisamstadion,
8,09/28/1996 15:30,TSV 1860 München,VfB Stuttgart,2,5,Olympiastadion,
8,09/29/1996 18:00,Borussia Dortmund,FC St. Pauli,2,1,Westfalenstadion,
9,10/04/1996 20:00,VfB Stuttgart,SC Freiburg,4,2,Gottlieb-Daimler-Stadion,
9,10/04/1996 20:00,Bayer 04 Leverkusen,Hansa Rostock,4,1,Ulrich-Haberland-Stadion,
9,10/04/1996 20:00,VfL Bochum,Borussia Dortmund,1,0,Ruhrstadion,
9,10/05/1996 15:30,FC St. Pauli,Fortuna Düsseldorf,3,0,Wilhelm-Koch-Stadion,
9,10/05/1996 15:30,Borussia Mönchengladbach,TSV 1860 München,1,0,Bökelbergstadion,
9,10/05/1996 15:30,FC Schalke 04,Karlsruher SC,0,1,Parkstadion,
9,10/05/1996 15:30,Arminia Bielefeld,Werder Bremen,3,1,Bielefelder Alm,
9,10/05/1996 15:30,Bayern München,Hamburger SV,2,1,Olympiastadion,
9,10/05/1996 15:30,MSV Duisburg,1. FC Köln,3,0,Wedaustadion,
10,10/11/1996 20:00,SC Freiburg,Borussia Mönchengladbach,1,0,Dreisamstadion,
10,10/11/1996 20:00,TSV 1860 München,FC St. Pauli,4,2,Olympiastadion,
10,10/12/1996 15:30,Borussia Dortmund,MSV Duisburg,2,0,Westfalenstadion,
10,10/12/1996 15:30,Hamburger SV,Arminia Bielefeld,2,2,Volksparkstadion,
10,10/12/1996 15:30,Werder Bremen,FC Schalke 04,3,0,Weserstadion,
10,10/12/1996 15:30,Karlsruher SC,Bayer 04 Leverkusen,1,1,Wildparkstadion,
10,10/12/1996 15:30,Hansa Rostock,VfB Stuttgart,2,2,Ostseestadion,
10,10/12/1996 15:30,1. FC Köln,Bayern München,2,4,Müngersdorfer Stadion,
10,10/13/1996 18:00,Fortuna Düsseldorf,VfL Bochum,2,2,Rheinstadion,
11,10/18/1996 20:00,VfL Bochum,TSV 1860 München,2,2,Ruhrstadion,
11,10/18/1996 20:00,Bayer 04 Leverkusen,VfB Stuttgart,0,0,Ulrich-Haberland-Stadion,
11,10/19/1996 15:30,FC St. Pauli,SC Freiburg,2,0,Wilhelm-Koch-Stadion,
11,10/19/1996 15:30,Borussia Mönchengladbach,Hansa Rostock,2,0,Bökelbergstadion,
11,10/19/1996 15:30,Karlsruher SC,Werder Bremen,1,3,Wildparkstadion,
11,10/19/1996 15:30,FC Schalke 04,Hamburger SV,2,0,Parkstadion,
11,10/19/1996 15:30,Arminia Bielefeld,1. FC Köln,1,4,Bielefelder Alm,
11,10/19/1996 15:30,MSV Duisburg,Fortuna Düsseldorf,0,0,Wedaustadion,
11,10/20/1996 19:00,Bayern München,Borussia Dortmund,0,0,Olympiastadion,
12,10/25/1996 19:30,Hansa Rostock,FC St. Pauli,3,1,Ostseestadion,
12,10/25/1996 20:00,Werder Bremen,Bayer 04 Leverkusen,1,1,Weserstadion,
12,10/26/1996 15:30,Borussia Dortmund,Arminia Bielefeld,5,0,Westfalenstadion,
12,10/26/1996 15:30,Hamburger SV,Karlsruher SC,2,0,Volksparkstadion,
12,10/26/1996 15:30,VfB Stuttgart,Borussia Mönchengladbach,5,0,Gottlieb-Daimler-Stadion,
12,10/26/1996 15:30,TSV 1860 München,MSV Duisburg,1,1,Olympiastadion,
12,10/26/1996 15:30,Fortuna Düsseldorf,Bayern München,0,2,Rheinstadion,
12,10/26/1996 15:30,1. FC Köln,FC Schalke 04,3,1,Müngersdorfer Stadion,
12,10/27/1996 18:00,SC Freiburg,VfL Bochum,0,1,Dreisamstadion,
13,11/01/1996 18:00,Bayern München,TSV 1860 München,1,1,Olympiastadion,
13,11/01/1996 20:00,VfL Bochum,Hansa Rostock,1,0,Ruhrstadion,
13,11/02/1996 15:30,FC Schalke 04,Borussia Dortmund,1,3,Parkstadion,
13,11/02/1996 15:30,FC St. Pauli,VfB Stuttgart,2,1,Wilhelm-Koch-Stadion,
13,11/02/1996 15:30,Werder Bremen,Hamburger SV,0,0,Weserstadion,
13,11/02/1996 15:30,Arminia Bielefeld,Fortuna Düsseldorf,1,0,Bielefelder Alm,
13,11/02/1996 15:30,MSV Duisburg,SC Freiburg,1,4,Wedaustadion,
13,11/02/1996 15:30,Bayer 04 Leverkusen,Borussia Mönchengladbach,3,0,Ulrich-Haberland-Stadion,
13,11/03/1996 18:00,Karlsruher SC,1. FC Köln,4,1,Wildparkstadion,
14,11/15/1996 20:00,Borussia Mönchengladbach,FC St. Pauli,0,0,Bökelbergstadion,
14,11/15/1996 20:00,1. FC Köln,Werder Bremen,4,1,Müngersdorfer Stadion,
14,11/16/1996 15:30,Hamburger SV,Bayer 04 Leverkusen,0,2,Volksparkstadion,
14,11/16/1996 15:30,VfB Stuttgart,VfL Bochum,3,1,Gottlieb-Daimler-Stadion,
14,11/16/1996 15:30,SC Freiburg,Bayern München,0,0,Dreisamstadion,
14,11/16/1996 15:30,TSV 1860 München,Arminia Bielefeld,1,3,Olympiastadion,
14,11/16/1996 15:30,Fortuna Düsseldorf,FC Schalke 04,1,3,Rheinstadion,
14,11/16/1996 15:30,Borussia Dortmund,Karlsruher SC,1,1,Westfalenstadion,
14,11/17/1996 18:00,Hansa Rostock,MSV Duisburg,0,1,Ostseestadion,
15,11/22/1996 20:00,VfL Bochum,Borussia Mönchengladbach,2,0,Ruhrstadion,
15,11/22/1996 20:00,Karlsruher SC,Fortuna Düsseldorf,2,0,Wildparkstadion,
15,11/23/1996 15:30,Werder Bremen,Borussia Dortmund,0,4,Weserstadion,
15,11/23/1996 15:30,1. FC Köln,Hamburger SV,2,2,Müngersdorfer Stadion,
15,11/23/1996 15:30,Bayern München,Hansa Rostock,2,1,Olympiastadion,
15,11/23/1996 15:30,FC Schalke 04,TSV 1860 München,4,1,Parkstadion,
15,11/23/1996 15:30,Arminia Bielefeld,SC Freiburg,2,0,Bielefelder Alm,
15,11/23/1996 15:30,FC St. Pauli,Bayer 04 Leverkusen,3,1,Wilhelm-Koch-Stadion,
15,11/24/1996 18:00,MSV Duisburg,VfB Stuttgart,3,1,Wedaustadion,
16,11/29/1996 20:00,Borussia Dortmund,Hamburger SV,1,1,Westfalenstadion,
16,11/30/1996 15:30,Borussia Mönchengladbach,MSV Duisburg,0,1,Bökelbergstadion,
16,11/30/1996 15:30,Hansa Rostock,Arminia Bielefeld,3,1,Ostseestadion,
16,11/30/1996 15:30,SC Freiburg,FC Schalke 04,2,3,Dreisamstadion,
16,11/30/1996 15:30,TSV 1860 München,Karlsruher SC,1,1,Olympiastadion,
16,11/30/1996 15:30,Fortuna Düsseldorf,Werder Bremen,4,1,Rheinstadion,
16,11/30/1996 15:30,Bayer 04 Leverkusen,1. FC Köln,4,2,Ulrich-Haberland-Stadion,
