round,date,home_team,away_team,home_score,away_score,stadium,stage
1,07/12/2019 18:00,FK Jablonec,Bohemians Praha 1905,2,0,Střelnice,Základní část
1,07/13/2019 17:00,FC Baník Ostrava,FC Slovan Liberec,1,2,Městský stadion Ostrava,Základní část
1,07/13/2019 17:00,1.FK Příbram,FK Teplice,1,1,Stadion Na Litavce,Základní část
1,07/13/2019 19:30,FC Viktoria Plzeň,SK Sigma Olomouc,3,1,Doosan Aréna,Základní část
1,07/14/2019 16:30,FK Mladá Boleslav,MFK Karviná,1,0,Městský stadion Mladá Boleslav,Základní část
1,07/14/2019 16:30,SK Dynamo České Budějovice,Slezský FC Opava,0,1,Střelecký ostrov,Základní část
1,07/14/2019 19:00,AC Sparta Praha,1.FC Slovácko,0,2,Generali Česká pojišťovna Arena,Základní část
1,07/15/2019 18:00,FC Fastav Zlín,SK Slavia Praha,0,1,Letná,Základní část
2,07/19/2019 18:30,FC Slovan Liberec,FC Viktoria Plzeň,1,2,Stadión U Nisy,Základní část
2,07/20/2019 17:00,SK Sigma Olomouc,FC Fastav Zlín,1,0,Andrův stadión,Základní část
2,07/20/2019 17:00,Slezský FC Opava,1.FK Příbram,1,0,Městský stadion Opava,Základní část
2,07/20/2019 17:00,1.FC Slovácko,SK Dynamo České Budějovice,0,2,Městský fotbalový stadion Miroslava Valenty,Základní část
2,07/20/2019 19:30,AC Sparta Praha,FK Jablonec,2,0,Generali Česká pojišťovna Arena,Základní část
2,07/21/2019 16:30,Bohemians Praha 1905,FK Mladá Boleslav,3,0,Ďolíček,Základní část
2,07/21/2019 19:00,FK Teplice,SK Slavia Praha,1,5,Na Stínadlech,Základní část
2,07/22/2019 18:00,MFK Karviná,FC Baník Ostrava,1,2,Městský stadion Karviná,Základní část
3,07/26/2019 18:30,FC Baník Ostrava,FK Teplice,0,1,Městský stadion Ostrava,Základní část
3,07/27/2019 17:00,1.FK Příbram,Bohemians Praha 1905,3,2,Stadion Na Litavce,Základní část
