round,date,home_team,away_team,home_score,away_score,stadium,stage
1,07/22/1988 18:30,Grazer AK,SK Austria Klagenfurt,3,4,GAK-Platz,
1,07/22/1988 18:30,VSE St. Pölten,SK Rapid Wien,1,0,Stadion Voithplatz,
1,07/22/1988 19:30,FC Swarovski Tirol,SK Raika Sturm Graz,1,0,Tivoli Stadion,
1,07/22/1988 19:30,FK Austria Memphis,Linzer ASK,3,1,Franz Horr Stadion,
1,07/23/1988 16:00,SK Vorwärts Steyr,First Vienna FC 1894,0,0,Vorwärts-Stadion,
1,07/23/1988 16:00,Wiener Sport-Club,FC Admira/Wacker,0,2,Dornbach,
2,07/26/1988 19:00,Linzer ASK,SK Vorwärts Steyr,1,3,Stadion der Stadt Linz,
2,07/26/1988 19:00,First Vienna FC 1894,Wiener Sport-Club,1,2,Stadion Hohe Warte,
2,07/26/1988 19:30,SK Austria Klagenfurt,SK Raika Sturm Graz,0,0,Wörthersee Stadion (alt),
2,07/26/1988 19:30,FC Admira/Wacker,VSE St. Pölten,2,1,Bundesstadion Südstadt,
2,07/26/1988 19:30,SK Rapid Wien,FC Swarovski Tirol,1,0,Gerhard Hanappi-Stadion,
2,07/27/1988 18:30,Grazer AK,FK Austria Memphis,3,3,GAK-Platz,
3,07/29/1988 18:30,VSE St. Pölten,First Vienna FC 1894,6,1,Stadion Voithplatz,
3,07/29/1988 18:30,SK Raika Sturm Graz,SK Rapid Wien,0,0,Gruabn,
3,07/29/1988 19:30,Wiener Sport-Club,Linzer ASK,4,2,Dornbach,
3,07/30/1988 16:00,SK Vorwärts Steyr,Grazer AK,0,0,Vorwärts-Stadion,
3,07/30/1988 16:00,FK Austria Memphis,SK Austria Klagenfurt,3,0,Franz Horr Stadion,
3,07/30/1988 19:30,FC Swarovski Tirol,FC Admira/Wacker,2,0,Tivoli Stadion,
4,08/05/1988 18:00,Grazer AK,Wiener Sport-Club,3,2,GAK-Platz,
4,08/05/1988 19:00,Linzer ASK,VSE St. Pölten,1,2,Stadion der Stadt Linz,
4,08/05/1988 19:30,FC Admira/Wacker,SK Raika Sturm Graz,2,1,Bundesstadion Südstadt,
4,08/05/1988 19:30,SK Austria Klagenfurt,SK Rapid Wien,1,4,Wörthersee Stadion (alt),
4,08/06/1988 16:00,First Vienna FC 1894,FC Swarovski Tirol,5,1,Stadion Hohe Warte,
