round,date,home_team,away_team,home_score,away_score,stadium,stage
1,06/29/1999 18:15,FC Tirol Milch Innsbruck,SK Rapid Wien,2,1,Tirol Milch Stadion,
1,06/30/1999 19:00,SV Wüstenrot Salzburg,SC Austria Memphis Lustenau,1,0,Lehener Stadion,
1,06/30/1999 19:30,Casino SW Bregenz,SV Josko Ried,1,2,Casino-Stadion,
1,06/30/1999 19:30,LASK Linz,SK Puntigamer Sturm Graz,0,2,Stadion der Stadt Linz,
1,06/30/1999 20:00,Liebherr GAK,FK Austria Memphis,0,2,Arnold Schwarzenegger Stadion,
2,07/06/1999 18:00,FK Austria Memphis,SV Wüstenrot Salzburg,2,0,Ernst Happel-Stadion,
2,07/07/1999 19:30,SC Austria Memphis Lustenau,LASK Linz,1,1,Reichshofstadion,
2,07/07/1999 19:30,SK Rapid Wien,Casino SW Bregenz,2,0,Gerhard Hanappi-Stadion,
2,07/07/1999 19:30,SV Josko Ried,Liebherr GAK,0,1,Stadion der Stadt Ried,
2,07/07/1999 20:00,SK Puntigamer Sturm Graz,FC Tirol Milch Innsbruck,0,1,Arnold Schwarzenegger Stadion,
3,07/13/1999 18:00,SK Rapid Wien,SV Wüstenrot Salzburg,1,0,Gerhard Hanappi-Stadion,
3,07/14/1999 19:30,FC Tirol Milch Innsbruck,SV Josko Ried,1,0,Tirol Milch Stadion,
3,07/14/1999 19:30,Liebherr GAK,SC Austria Memphis Lustenau,2,3,Arnold Schwarzenegger Stadion,
3,07/14/1999 19:30,LASK Linz,FK Austria Memphis,1,1,Stadion der Stadt Linz,
3,07/14/1999 20:00,Casino SW Bregenz,SK Puntigamer Sturm Graz,1,4,Casino-Stadion,
4,07/17/1999 19:00,SV Wüstenrot Salzburg,LASK Linz,2,1,Lehener Stadion,
4,07/21/1999 18:00,SK Puntigamer Sturm Graz,Liebherr GAK,5,0,Arnold Schwarzenegger Stadion,
4,07/21/1999 19:30,SC Austria Memphis Lustenau,Casino SW Bregenz,3,0,Reichshofstadion,
4,07/21/1999 20:00,FK Austria Memphis,FC Tirol Milch Innsbruck,0,2,Franz Horr Stadion,
4,07/21/1999 20:00,SV Josko Ried,SK Rapid Wien,1,2,Stadion der Stadt Ried,
5,07/17/1999 17:30,SK Rapid Wien,SK Puntigamer Sturm Graz,0,0,Gerhard Hanappi-Stadion,
5,07/27/1999 19:30,FC Tirol Milch Innsbruck,LASK Linz,5,0,Tirol Milch Stadion,
5,07/27/1999 19:30,SV Josko Ried,SC Austria Memphis Lustenau,1,1,Stadion der Stadt Ried,
5,07/27/1999 20:00,Liebherr GAK,SV Wüstenrot Salzburg,0,0,Arnold Schwarzenegger Stadion,
5,08/24/1999 19:30,Casino SW Bregenz,FK Austria Memphis,1,1,Casino-Stadion,
6,07/31/1999 17:30,FK Austria Memphis,SK Rapid Wien,0,3,Ernst Happel-Stadion,
6,08/03/1999 19:00,SV Wüstenrot Salzburg,Casino SW Bregenz,0,1,Lehener Stadion,
6,08/03/1999 19:30,SC Austria Memphis Lustenau,FC Tirol Milch Innsbruck,1,3,Reichshofstadion,
6,08/03/1999 19:30,SK Puntigamer Sturm Graz,SV Josko Ried,2,1,Arnold Schwarzenegger Stadion,
6,08/03/1999 20:00,LASK Linz,Liebherr GAK,1,3,Stadion der Stadt Linz,
7,08/06/1999 19:30,FC Tirol Milch Innsbruck,Liebherr GAK,1,0,Tirol Milch Stadion,
