round,date,home_team,away_team,home_score,away_score,stadium,stage
1,07/26/2019 20:30,VfB Stuttgart,Hannover 96,2,1,Mercedes-Benz-Arena,
1,07/27/2019 13:00,Dynamo Dresden,1. FC Nürnberg,0,1,Rudolf-Harbig-Stadion,
1,07/27/2019 15:30,Holstein Kiel,SV Sandhausen,1,1,Holstein-Stadion,
1,07/27/2019 15:30,VfL Osnabrück,1. FC Heidenheim,1,3,Bremer Brücke,
1,07/28/2019 13:30,Hamburger SV,SV Darmstadt 98,1,1,Volksparkstadion,
1,07/28/2019 15:30,Jahn Regensburg,VfL Bochum,3,1,Continental-Arena,
1,07/28/2019 15:30,SpVgg Greuther Fürth,Erzgebirge Aue,0,2,Sportpark-Ronhof-Thomas-Sommer,
1,07/28/2019 15:30,SV Wehen Wiesbaden,Karlsruher SC,1,2,Brita-Arena,
1,07/29/2019 20:30,Arminia Bielefeld,FC St. Pauli,1,1,SchücoArena,
2,08/02/2019 18:30,VfL Bochum,Arminia Bielefeld,3,3,Vonovia Ruhrstadion,
2,08/02/2019 18:30,SV Sandhausen,VfL Osnabrück,0,1,BWT-Stadion am Hardtwald,
2,08/02/2019 20:30,FC St. Pauli,SpVgg Greuther Fürth,1,3,Millerntor-Stadion,
2,08/03/2019 13:00,Karlsruher SC,Dynamo Dresden,4,2,Wildparkstadion,
2,08/03/2019 15:30,Hannover 96,Jahn Regensburg,1,1,HDI-Arena,
2,08/04/2019 13:30,1. FC Heidenheim,VfB Stuttgart,2,2,Voith-Arena,
2,08/04/2019 15:30,SV Darmstadt 98,Holstein Kiel,2,0,Merck-Stadion am Böllenfalltor,
2,08/04/2019 15:30,Erzgebirge Aue,SV Wehen Wiesbaden,3,2,Sparkassen-Erzgebirgsstadion,
2,08/05/2019 20:30,1. FC Nürnberg,Hamburger SV,0,4,Max-Morlock-Stadion,
3,08/16/2019 18:30,Hamburger SV,VfL Bochum,1,0,Volksparkstadion,
3,08/16/2019 18:30,SV Sandhausen,1. FC Nürnberg,3,2,BWT-Stadion am Hardtwald,
3,08/17/2019 13:00,VfB Stuttgart,FC St. Pauli,2,1,Mercedes-Benz-Arena,
3,08/17/2019 13:00,Arminia Bielefeld,Erzgebirge Aue,3,1,SchücoArena,
3,08/17/2019 13:00,SV Wehen Wiesbaden,Hannover 96,0,3,Brita-Arena,
3,08/18/2019 13:30,Holstein Kiel,Karlsruher SC,2,1,Holstein-Stadion,
3,08/18/2019 13:30,Dynamo Dresden,1. FC Heidenheim,2,1,Rudolf-Harbig-Stadion,
3,08/18/2019 13:30,SpVgg Greuther Fürth,Jahn Regensburg,1,0,Sportpark-Ronhof-Thomas-Sommer,
3,08/19/2019 20:30,VfL Osnabrück,SV Darmstadt 98,4,0,Bremer Brücke,
4,08/23/2019 18:30,SV Darmstadt 98,Dynamo Dresden,0,0,Merck-Stadion am Böllenfalltor,
