round,date,home_team,away_team,home_score,away_score,stadium,stage
1,07/18/2014,FC Nordsjælland,FC Vestsjælland,3,2,Right to Dream Park,
1,07/19/2014,SønderjyskE,AaB,0,0,Sydbank Park,
1,07/20/2014,OB,Hobro IK,1,2,Nature Energy Park,
1,07/20/2014,Silkeborg IF,F.C. København,0,0,JYSK Park,
1,07/20/2014,FC Midtjylland,Brøndby IF,3,1,MCH Arena,
1,07/21/2014,Esbjerg fB,Randers FC,0,1,Blue Water Arena,
2,07/25/2014,FC Vestsjælland,OB,3,1,Harboe Arena Slagelse,
2,07/26/2014,AaB,FC Midtjylland,2,0,Aalborg Portland Park,
2,07/26/2014,F.C. København,FC Nordsjælland,2,1,Parken,
2,07/27/2014,Randers FC,Hobro IK,2,1,Cepheus Park Randers,
2,07/27/2014,Esbjerg fB,SønderjyskE,1,1,Blue Water Arena,
2,07/28/2014,Brøndby IF,Silkeborg IF,2,0,Brøndby Stadion,
3,08/01/2014,Silkeborg IF,SønderjyskE,0,2,JYSK Park,
3,08/02/2014,FC Vestsjælland,F.C. København,2,2,Harboe Arena Slagelse,
3,08/02/2014,OB,AaB,1,1,Nature Energy Park,
3,08/03/2014,FC Nordsjælland,Esbjerg fB,3,2,Right to Dream Park,
3,08/03/2014,Hobro IK,Brøndby IF,2,0,DS Arena,
3,08/04/2014,FC Midtjylland,Randers FC,3,1,MCH Arena,
4,08/08/2014,Randers FC,FC Vestsjælland,1,0,Cepheus Park Randers,
4,08/09/2014,AaB,FC Nordsjælland,1,2,Aalborg Portland Park,
4,08/10/2014,SønderjyskE,FC Midtjylland,1,3,Sydbank Park,
4,08/10/2014,F.C. København,Hobro IK,0,3,Parken,
4,08/10/2014,Brøndby IF,OB,1,1,Brøndby Stadion,
4,08/11/2014,Esbjerg fB,Silkeborg IF,0,0,Blue Water Arena,
5,08/15/2014,F.C. København,FC Midtjylland,1,2,Parken,
5,08/16/2014,AaB,Esbjerg fB,1,1,Aalborg Portland Park,
5,08/17/2014,FC Vestsjælland,Silkeborg IF,2,0,Harboe Arena Slagelse,
5,08/17/2014,Brøndby IF,SønderjyskE,2,0,Brøndby Stadion,
5,08/17/2014,Randers FC,OB,0,2,Cepheus Park Randers,
5,08/18/2014,Hobro IK,FC Nordsjælland,0,0,DS Arena,
6,08/30/2014,SønderjyskE,Randers FC,1,1,Sydbank Park,
6,08/31/2014,Silkeborg IF,AaB,2,2,JYSK Park,
6,08/31/2014,FC Midtjylland,Esbjerg fB,2,0,MCH Arena,
6,08/31/2014,FC Nordsjælland,Brøndby IF,0,3,Right to Dream Park,
6,08/31/2014,OB,F.C. København,0,1,Nature Energy Park,
6,09/01/2014,Hobro IK,FC Vestsjælland,3,1,DS Arena,
7,09/12/2014,FC Midtjylland,OB,3,2,MCH Arena,
7,09/13/2014,AaB,F.C. København,1,0,Aalborg Portland Park,
7,09/14/2014,Silkeborg IF,FC Nordsjælland,1,2,JYSK Park,
7,09/14/2014,Brøndby IF,Randers FC,0,2,Brøndby Stadion,
7,09/14/2014,Esbjerg fB,FC Vestsjælland,3,0,Blue Water Arena,
7,09/15/2014,SønderjyskE,Hobro IK,1,1,Sydbank Park,
8,09/19/2014,Randers FC,Silkeborg IF,1,0,Cepheus Park Randers,
8,09/20/2014,Hobro IK,Esbjerg fB,1,1,DS Arena,
8,09/21/2014,OB,SønderjyskE,1,1,Nature Energy Park,
8,09/21/2014,F.C. København,Brøndby IF,1,0,Parken,
8,09/21/2014,FC Nordsjælland,FC Midtjylland,2,1,Right to Dream Park,
8,09/22/2014,FC Vestsjælland,AaB,1,0,Harboe Arena Slagelse,
9,09/26/2014,AaB,Randers FC,0,0,Aalborg Portland Park,
9,09/27/2014,SønderjyskE,F.C. København,1,1,Sydbank Park,
9,09/27/2014,Silkeborg IF,Hobro IK,2,2,JYSK Park,
9,09/28/2014,FC Midtjylland,FC Vestsjælland,1,0,MCH Arena,
9,09/28/2014,Esbjerg fB,Brøndby IF,2,2,Blue Water Arena,
9,09/29/2014,FC Nordsjælland,OB,2,1,Right to Dream Park,
