round,date,home_team,away_team,home_score,away_score,stadium,stage
1,08/14/1965 16:00,Eintracht Braunschweig,Borussia Dortmund,4,0,Eintracht-Stadion,
1,08/14/1965 16:00,1. FC Köln,Hannover 96,0,1,Müngersdorfer Stadion (1923-1973),
1,08/14/1965 16:00,Borussia Neunkirchen,Borussia Mönchengladbach,1,1,Ellenfeldstadion,
1,08/14/1965 16:00,SV Tasmania Berlin,Karlsruher SC,2,0,Olympiastadion,
1,08/14/1965 16:00,Eintracht Frankfurt,Hamburger SV,2,0,Waldstadion,
1,08/14/1965 16:00,SV Werder Bremen,1. FC Nürnberg,1,0,Weserstadion,
1,08/14/1965 16:00,Meidericher SV,1. FC Kaiserslautern,2,2,Wedaustadion,
1,08/14/1965 16:00,TSV 1860 München,Bayern München,1,0,Stadion an der Grünwalder Straße,
1,08/14/1965 16:00,VfB Stuttgart,FC Schalke 04,1,0,Neckarstadion,
2,08/21/1965 16:00,VfB Stuttgart,Meidericher SV,2,0,Neckarstadion,
2,08/21/1965 16:00,Hannover 96,SV Werder Bremen,2,1,Niedersachsenstadion,
2,08/21/1965 16:00,1. FC Kaiserslautern,1. FC Köln,3,2,Betzenbergstadion,
2,08/21/1965 16:00,Borussia Mönchengladbach,SV Tasmania Berlin,5,0,Bökelbergstadion,
2,08/21/1965 16:00,Hamburger SV,Eintracht Braunschweig,2,1,Volksparkstadion,
2,08/21/1965 16:00,FC Schalke 04,Karlsruher SC,0,0,Glückauf-Kampfbahn,
2,08/21/1965 16:00,Bayern München,Eintracht Frankfurt,2,0,Stadion an der Grünwalder Straße,
2,08/21/1965 16:00,Borussia Dortmund,Borussia Neunkirchen,1,0,Rote Erde,
2,08/21/1965 16:00,1. FC Nürnberg,TSV 1860 München,1,4,Städtisches Stadion,
3,08/27/1965 20:00,Meidericher SV,FC Schalke 04,5,1,Wedaustadion,
3,08/28/1965 16:00,SV Tasmania Berlin,Borussia Dortmund,0,2,Olympiastadion,
3,08/28/1965 16:00,Karlsruher SC,Borussia Mönchengladbach,3,3,Wildparkstadion,
3,08/28/1965 16:00,Borussia Neunkirchen,Hamburger SV,1,1,Ellenfeldstadion,
3,08/28/1965 16:00,SV Werder Bremen,1. FC Kaiserslautern,4,1,Weserstadion,
3,08/28/1965 16:00,1. FC Köln,VfB Stuttgart,3,1,Müngersdorfer Stadion (1923-1973),
3,08/28/1965 16:00,Eintracht Braunschweig,Bayern München,2,4,Eintracht-Stadion,
3,08/28/1965 16:00,TSV 1860 München,Hannover 96,5,0,Stadion an der Grünwalder Straße,
3,09/03/1965 16:00,Eintracht Frankfurt,1. FC Nürnberg,1,2,Waldstadion,
4,09/04/1965 16:00,Bayern München,Borussia Neunkirchen,6,0,Stadion an der Grünwalder Straße,
4,09/04/1965 16:00,VfB Stuttgart,SV Werder Bremen,0,2,Neckarstadion,
4,09/04/1965 16:00,1. FC Kaiserslautern,TSV 1860 München,3,0,Betzenbergstadion,
4,09/04/1965 16:00,Borussia Dortmund,Karlsruher SC,4,1,Rote Erde,
4,09/04/1965 16:00,Hannover 96,Eintracht Frankfurt,4,1,Niedersachsenstadion,
4,09/04/1965 16:00,FC Schalke 04,Borussia Mönchengladbach,0,0,Glückauf-Kampfbahn,
4,09/04/1965 16:00,Hamburger SV,SV Tasmania Berlin,5,1,Volksparkstadion,
4,09/04/1965 16:00,Meidericher SV,1. FC Köln,2,3,Wedaustadion,
4,09/04/1965 16:00,1. FC Nürnberg,Eintracht Braunschweig,1,1,Städtisches Stadion,
5,09/11/1965 16:00,Borussia Neunkirchen,1. FC Nürnberg,2,1,Ellenfeldstadion,
5,09/11/1965 16:00,Karlsruher SC,Hamburger SV,1,4,Wildparkstadion,
5,09/11/1965 16:00,Borussia Mönchengladbach,Borussia Dortmund,4,5,Bökelbergstadion,
5,09/11/1965 16:00,SV Tasmania Berlin,Bayern München,0,2,Olympiastadion,
5,09/11/1965 16:00,TSV 1860 München,VfB Stuttgart,0,0,Stadion an der Grünwalder Straße,
5,09/11/1965 16:00,1. FC Köln,FC Schalke 04,2,1,Müngersdorfer Stadion (1923-1973),
5,09/11/1965 16:00,Eintracht Frankfurt,1. FC Kaiserslautern,6,0,Waldstadion,
5,09/11/1965 16:00,Eintracht Braunschweig,Hannover 96,2,1,Eintracht-Stadion,
5,09/11/1965 16:00,SV Werder Bremen,Meidericher SV,2,0,Weserstadion,
6,09/18/1965 16:00,1. FC Kaiserslautern,Eintracht Braunschweig,1,1,Betzenbergstadion,
6,09/18/1965 16:00,Bayern München,Karlsruher SC,5,1,Stadion an der Grünwalder Straße,
6,09/18/1965 16:00,1. FC Köln,SV Werder Bremen,2,0,Müngersdorfer Stadion (1923-1973),
6,09/18/1965 16:00,Hannover 96,Borussia Neunkirchen,6,0,Niedersachsenstadion,
6,09/18/1965 16:00,FC Schalke 04,Borussia Dortmund,2,3,Glückauf-Kampfbahn,
6,09/18/1965 16:00,VfB Stuttgart,Eintracht Frankfurt,0,0,Neckarstadion,
6,09/18/1965 16:00,Hamburger SV,Borussia Mönchengladbach,5,0,Volksparkstadion,
6,09/18/1965 16:00,Meidericher SV,TSV 1860 München,2,3,Wedaustadion,
6,09/18/1965 16:00,1. FC Nürnberg,SV Tasmania Berlin,7,2,Städtisches Stadion,
7,10/02/1965 16:00,Borussia Mönchengladbach,Bayern München,1,2,Bökelbergstadion,
7,10/02/1965 16:00,TSV 1860 München,1. FC Köln,2,1,Stadion an der Grünwalder Straße,
7,10/02/1965 16:00,Borussia Dortmund,Hamburger SV,2,2,Rote Erde,
7,10/02/1965 16:00,SV Werder Bremen,FC Schalke 04,2,0,Weserstadion,
7,10/02/1965 16:00,SV Tasmania Berlin,Hannover 96,1,5,Olympiastadion,
7,10/02/1965 16:00,Borussia Neunkirchen,1. FC Kaiserslautern,1,4,Ellenfeldstadion,
7,10/02/1965 16:00,Eintracht Frankfurt,Meidericher SV,2,0,Waldstadion,
7,10/02/1965 16:00,Eintracht Braunschweig,VfB Stuttgart,1,1,Eintracht-Stadion,
7,10/02/1965 16:00,Karlsruher SC,1. FC Nürnberg,1,2,Wildparkstadion,
8,10/16/1965 15:00,Hannover 96,Karlsruher SC,5,2,Niedersachsenstadion,
8,10/16/1965 16:00,1. FC Nürnberg,Borussia Mönchengladbach,2,2,Städtisches Stadion,
8,10/16/1965 16:00,VfB Stuttgart,Borussia Neunkirchen,2,0,Neckarstadion,
8,10/16/1965 16:00,1. FC Köln,Eintracht Frankfurt,1,0,Müngersdorfer Stadion (1923-1973),
8,10/16/1965 16:00,SV Werder Bremen,TSV 1860 München,0,2,Weserstadion,
8,10/16/1965 16:00,1. FC Kaiserslautern,SV Tasmania Berlin,0,0,Betzenbergstadion,
8,10/16/1965 16:00,FC Schalke 04,Hamburger SV,2,1,Glückauf-Kampfbahn,
8,10/16/1965 16:00,Bayern München,Borussia Dortmund,0,2,Stadion an der Grünwalder Straße,
8,10/16/1965 16:00,Meidericher SV,Eintracht Braunschweig,4,1,Wedaustadion,
9,10/20/1965 15:45,Borussia Mönchengladbach,Hannover 96,2,0,Bökelbergstadion,
9,10/20/1965 15:45,SV Tasmania Berlin,VfB Stuttgart,0,2,Olympiastadion,
9,10/20/1965 15:45,Borussia Neunkirchen,Meidericher SV,0,1,Ellenfeldstadion,
9,10/20/1965 19:00,Borussia Dortmund,1. FC Nürnberg,2,0,Rote Erde,
9,10/20/1965 19:00,Karlsruher SC,1. FC Kaiserslautern,1,0,Wildparkstadion,
9,10/20/1965 19:00,Eintracht Braunschweig,1. FC Köln,1,2,Eintracht-Stadion,
9,10/20/1965 20:00,TSV 1860 München,FC Schalke 04,3,0,Stadion an der Grünwalder Straße,
9,10/20/1965 20:00,Hamburger SV,Bayern München,0,4,Volksparkstadion,
9,10/20/1965 20:00,Eintracht Frankfurt,SV Werder Bremen,1,0,Waldstadion,
10,10/23/1965 15:00,Hannover 96,Borussia Dortmund,1,1,Niedersachsenstadion,
10,10/23/1965 16:00,FC Schalke 04,Bayern München,1,1,Glückauf-Kampfbahn,
10,10/23/1965 16:00,VfB Stuttgart,Karlsruher SC,1,0,Neckarstadion,
10,10/23/1965 16:00,TSV 1860 München,Eintracht Frankfurt,4,2,Stadion an der Grünwalder Straße,
10,10/23/1965 16:00,1. FC Kaiserslautern,Borussia Mönchengladbach,1,2,Betzenbergstadion,
10,10/23/1965 16:00,1. FC Köln,Borussia Neunkirchen,4,2,Müngersdorfer Stadion (1923-1973),
10,10/23/1965 16:00,Meidericher SV,SV Tasmania Berlin,3,0,Wedaustadion,
10,10/23/1965 16:00,1. FC Nürnberg,Hamburger SV,5,0,Städtisches Stadion,
10,10/23/1965 16:00,SV Werder Bremen,Eintracht Braunschweig,4,0,Weserstadion,
11,10/30/1965 15:00,Borussia Neunkirchen,SV Werder Bremen,1,2,Ellenfeldstadion,
11,10/30/1965 15:00,Borussia Mönchengladbach,VfB Stuttgart,1,0,Bökelbergstadion,
11,10/30/1965 15:00,SV Tasmania Berlin,1. FC Köln,0,6,Olympiastadion,
11,10/30/1965 16:00,Bayern München,1. FC Nürnberg,0,0,Stadion an der Grünwalder Straße,
11,10/30/1965 16:00,Borussia Dortmund,1. FC Kaiserslautern,4,0,Rote Erde,
11,10/30/1965 16:00,Eintracht Frankfurt,FC Schalke 04,4,1,Waldstadion,
11,10/30/1965 16:00,Eintracht Braunschweig,TSV 1860 München,2,2,Eintracht-Stadion,
11,10/30/1965 16:00,Hamburger SV,Hannover 96,2,1,Volksparkstadion,
11,10/30/1965 16:00,Karlsruher SC,Meidericher SV,0,4,Wildparkstadion,
12,11/06/1965 14:30,Hannover 96,Bayern München,3,4,Niedersachsenstadion,
12,11/06/1965 15:00,FC Schalke 04,1. FC Nürnberg,1,0,Glückauf-Kampfbahn,
