round,date,home_team,away_team,home_score,away_score,stadium,stage
1,08/24/2018 20:30,Bayern München,TSG Hoffenheim,3,1,Allianz Arena,
1,08/25/2018 15:30,Hertha BSC,1. FC Nürnberg,1,0,Olympiastadion,
1,08/25/2018 15:30,Werder Bremen,Hannover 96,1,1,Weserstadion,
1,08/25/2018 15:30,SC Freiburg,Eintracht Frankfurt,0,2,Schwarzwald-Stadion,
1,08/25/2018 15:30,VfL Wolfsburg,FC Schalke 04,2,1,Volkswagen Arena,
1,08/25/2018 15:30,Fortuna Düsseldorf,FC Augsburg,1,2,Merkur Spielarena,
1,08/25/2018 18:30,Borussia Mönchengladbach,Bayer 04 Leverkusen,2,0,Borussia-Park,
1,08/26/2018 15:30,1. FSV Mainz 05,VfB Stuttgart,1,0,Opel Arena,
1,08/26/2018 18:00,Borussia Dortmund,RB Leipzig,4,1,Signal-Iduna-Park,
2,08/31/2018 20:30,Hannover 96,Borussia Dortmund,0,0,HDI-Arena,
2,09/01/2018 15:30,TSG Hoffenheim,SC Freiburg,3,1,Wirsol Rhein-Neckar-Arena,
2,09/01/2018 15:30,Bayer 04 Leverkusen,VfL Wolfsburg,1,3,Bay-Arena,
2,09/01/2018 15:30,Eintracht Frankfurt,Werder Bremen,1,2,Commerzbank-Arena,
2,09/01/2018 15:30,FC Augsburg,Borussia Mönchengladbach,1,1,WWK Arena,
2,09/01/2018 15:30,1. FC Nürnberg,1. FSV Mainz 05,1,1,Max-Morlock-Stadion,
2,09/01/2018 18:30,VfB Stuttgart,Bayern München,0,3,Mercedes-Benz-Arena,
2,09/02/2018 15:30,RB Leipzig,Fortuna Düsseldorf,1,1,Red Bull Arena,
2,09/02/2018 18:00,FC Schalke 04,Hertha BSC,0,2,Veltins-Arena,
3,09/14/2018 20:30,Borussia Dortmund,Eintracht Frankfurt,3,1,Signal-Iduna-Park,
3,09/15/2018 15:30,Bayern München,Bayer 04 Leverkusen,3,1,Allianz Arena,
3,09/15/2018 15:30,RB Leipzig,Hannover 96,3,2,Red Bull Arena,
3,09/15/2018 15:30,1. FSV Mainz 05,FC Augsburg,2,1,Opel Arena,
3,09/15/2018 15:30,VfL Wolfsburg,Hertha BSC,2,2,Volkswagen Arena,
3,09/15/2018 15:30,Fortuna Düsseldorf,TSG Hoffenheim,2,1,Merkur Spielarena,
3,09/15/2018 18:30,Borussia Mönchengladbach,FC Schalke 04,2,1,Borussia-Park,
3,09/16/2018 15:30,Werder Bremen,1. FC Nürnberg,1,1,Weserstadion,
3,09/16/2018 18:00,SC Freiburg,VfB Stuttgart,3,3,Schwarzwald-Stadion,
4,09/21/2018 20:30,VfB Stuttgart,Fortuna Düsseldorf,0,0,Mercedes-Benz-Arena,
4,09/22/2018 15:30,VfL Wolfsburg,SC Freiburg,1,3,Volkswagen Arena,
