round,date,home_team,away_team,home_score,away_score,stadium,stage
1,08/23/1992,Zagreb,Segesta,5,1,,
1,08/23/1992,Istra,Belišće,3,0,,
1,08/23/1992,Radnik,Zadar,1,0,,
1,08/23/1992,Osijek,Šibenik,2,0,,
1,08/23/1992,Hajduk,Cibalia,3,0,,
1,08/23/1992,Inker,Dubrovnik,4,0,,
1,08/23/1992,Rijeka,Pazinka,2,0,,
1,08/23/1992,Varteks,HAŠK Građanski,3,3,,
2,08/30/1992,Belišće,Radnik,2,3,,
2,08/30/1992,Zagreb,Istra,1,0,,
2,08/30/1992,Zadar,Osijek,2,1,,
2,08/30/1992,Šibenik,Hajduk,0,1,,
2,08/30/1992,Cibalia,Dubrovnik,1,0,,
2,08/30/1992,Inker,Rijeka,1,1,,
2,08/30/1992,Pazinka,Varteks,0,2,,
2,08/30/1992,Segesta,HAŠK Građanski,1,3,,
3,06/09/1992,Istra,Segesta,2,0,,
3,06/09/1992,Radnik,Zagreb,1,2,,
3,06/09/1992,Osijek,Belišće,4,1,,
3,06/09/1992,Hajduk,Zadar,5,1,,
3,06/09/1992,Šibenik,Dubrovnik,0,1,,
3,06/09/1992,Rijeka,Cibalia,1,0,,
3,06/09/1992,Varteks,Inker,2,3,,
3,06/09/1992,HAŠK Građanski,Pazinka,3,1,,
4,09/13/1992,Istra,Radnik,1,1,,
4,09/13/1992,Zagreb,Osijek,2,0,,
4,09/13/1992,Belišće,Hajduk,1,3,,
4,09/13/1992,Zadar,Dubrovnik,1,0,,
4,09/13/1992,Šibenik,Rijeka,1,4,,
4,09/13/1992,Cibalia,Varteks,2,2,,
4,09/13/1992,Inker,HAŠK Građanski,0,1,,
4,09/13/1992,Segesta,Pazinka,1,0,,
5,09/20/1992,Radnik,Segesta,0,1,,
5,09/20/1992,Osijek,Istra,1,2,,
5,09/20/1992,Hajduk,Zagreb,2,1,,
5,09/20/1992,Belišće,Dubrovnik,2,0,,
5,09/20/1992,Rijeka,Zadar,2,0,,
5,09/20/1992,Varteks,Šibenik,1,0,,
5,09/20/1992,HAŠK Građanski,Cibalia,0,0,,
