round,date,home_team,away_team,home_score,away_score,stadium,stage
1,07/29/2016 20:30,MSV Duisburg,SC Paderborn 07,1,0,Schauinsland-Reisen-Arena,
1,07/30/2016 14:00,Chemnitzer FC,SG Sonnenhof Großaspach,0,0,Stadion an der Gellertstraße,
1,07/30/2016 14:00,Rot-Weiß Erfurt,Hallescher FC,0,3,Steigerwaldstadion,
1,07/30/2016 14:00,Holstein Kiel,FSV Frankfurt,1,1,Holstein-Stadion,
1,07/30/2016 14:00,SV Wehen Wiesbaden,VfR Aalen,1,2,,
1,07/30/2016 14:00,1. FSV Mainz 05 II,FSV Zwickau,2,2,Bruchwegstadion,
1,07/30/2016 14:00,Jahn Regensburg,Hansa Rostock,2,0,Continental-Arena,
1,07/31/2016 14:00,SC Preußen Münster,VfL Osnabrück,0,1,Preußenstadion,
1,07/31/2016 14:00,SV Werder Bremen II,Sportfreunde Lotte,0,3,Weserstadion - Platz 11,
1,07/31/2016 14:00,1. FC Magdeburg,Fortuna Köln,0,3,MDCC-Arena,
2,08/05/2016 19:00,Fortuna Köln,SV Werder Bremen II,2,0,Kölner Südstadion,
2,08/05/2016 19:00,Hansa Rostock,SC Preußen Münster,1,0,Ostseestadion,
2,08/06/2016 14:00,SC Paderborn 07,1. FSV Mainz 05 II,3,1,Benteler-Arena,
2,08/06/2016 14:00,Sportfreunde Lotte,SV Wehen Wiesbaden,0,0,Frimo Stadion,
2,08/06/2016 14:00,VfR Aalen,Holstein Kiel,1,0,Scholz-Arena,
2,08/06/2016 14:00,FSV Frankfurt,Rot-Weiß Erfurt,0,1,Frankfurter Volksbank Stadion,
2,08/06/2016 14:00,Hallescher FC,Chemnitzer FC,1,1,Erdgas Sportpark,
2,08/07/2016 14:00,SG Sonnenhof Großaspach,Jahn Regensburg,3,4,mechatronik Arena,
2,08/07/2016 14:00,VfL Osnabrück,MSV Duisburg,1,1,osnatel Arena,
2,09/01/2016 19:00,FSV Zwickau,1. FC Magdeburg,0,0,Stadion Zwickau,
3,08/09/2016 18:30,Rot-Weiß Erfurt,VfR Aalen,0,0,Steigerwaldstadion,
3,08/09/2016 19:00,Holstein Kiel,Sportfreunde Lotte,3,1,Holstein-Stadion,
