round,date,home_team,away_team,home_score,away_score,stadium,stage
1,08/07/2009 20:30,VfL Wolfsburg,VfB Stuttgart,2,0,Volkswagen Arena,
1,08/08/2009 15:30,Borussia Dortmund,1. FC Köln,1,0,Signal-Iduna-Park,
1,08/08/2009 15:30,1. FC Nürnberg,FC Schalke 04,1,2,easyCredit-Stadion,
1,08/08/2009 15:30,Werder Bremen,Eintracht Frankfurt,2,3,Weserstadion,
1,08/08/2009 15:30,Hertha BSC,Hannover 96,1,0,Olympiastadion,
1,08/08/2009 15:30,1. FSV Mainz 05,Bayer 04 Leverkusen,2,2,Bruchwegstadion,
1,08/08/2009 18:30,1899 Hoffenheim,Bayern München,1,1,Rhein-Neckar-Arena,
1,08/09/2009 15:30,VfL Bochum,Borussia Mönchengladbach,3,3,rewirpowerSTADION,
1,08/09/2009 17:30,SC Freiburg,Hamburger SV,1,1,badenova-Stadion,
2,08/15/2009 15:30,Bayern München,Werder Bremen,1,1,Allianz Arena,
2,08/15/2009 15:30,VfB Stuttgart,SC Freiburg,4,2,Mercedes-Benz-Arena,
2,08/15/2009 15:30,Hamburger SV,Borussia Dortmund,4,1,HSH Nordbank Arena,
2,08/15/2009 15:30,Bayer 04 Leverkusen,1899 Hoffenheim,1,0,Bay-Arena,
2,08/15/2009 15:30,Hannover 96,1. FSV Mainz 05,1,1,AWD-Arena,
2,08/15/2009 15:30,Eintracht Frankfurt,1. FC Nürnberg,1,1,Commerzbank-Arena,
2,08/15/2009 18:30,1. FC Köln,VfL Wolfsburg,1,3,Rhein-Energie-Stadion,
2,08/16/2009 15:30,Borussia Mönchengladbach,Hertha BSC,2,1,Borussia-Park,
2,08/16/2009 17:30,FC Schalke 04,VfL Bochum,3,0,Veltins-Arena,
3,08/21/2009 20:30,1899 Hoffenheim,FC Schalke 04,0,0,Rhein-Neckar-Arena,
3,08/22/2009 15:30,Borussia Dortmund,VfB Stuttgart,1,1,Signal-Iduna-Park,
