round,date,home_team,away_team,home_score,away_score,stadium,stage
1,07/21/1987 17:30,VfB Mödling,Wiener Sport-Club,1,1,Bundesstadion Südstadt,
1,07/21/1987 18:30,Grazer AK,FC Swarovski Tirol,2,0,GAK-Platz,
1,07/21/1987 19:00,FC Admira/Wacker,SK Raika Sturm Graz,0,1,Bundesstadion Südstadt,
1,07/21/1987 19:00,Linzer ASK,FK Austria Memphis,2,1,Stadion der Stadt Linz,
1,07/21/1987 19:00,First Vienna FC 1894,SK Austria Klagenfurt,3,0,Stadion Hohe Warte,
1,07/21/1987 19:00,SK Rapid Wien,SK VOEST Linz,2,1,Gerhard Hanappi-Stadion,
2,07/24/1987 18:30,SK Raika Sturm Graz,FC Swarovski Tirol,2,2,Gruabn,
2,07/24/1987 19:00,SK VOEST Linz,Linzer ASK,1,1,Stadion der Stadt Linz,
2,07/24/1987 19:00,FC Admira/Wacker,VfB Mödling,3,3,Bundesstadion Südstadt,
2,07/24/1987 19:00,SK Austria Klagenfurt,Grazer AK,2,3,Wörthersee Stadion (alt),
2,07/24/1987 19:00,Wiener Sport-Club,SK Rapid Wien,1,3,Dornbach,
2,07/26/1987 10:30,FK Austria Memphis,First Vienna FC 1894,7,0,Franz Horr Stadion,
3,07/31/1987 18:30,Grazer AK,FK Austria Memphis,1,1,GAK-Platz,
3,07/31/1987 19:00,Linzer ASK,Wiener Sport-Club,1,1,Stadion der Stadt Linz,
3,07/31/1987 19:00,FC Swarovski Tirol,SK Austria Klagenfurt,1,0,Tivoli Stadion,
3,07/31/1987 19:00,SK Rapid Wien,FC Admira/Wacker,3,2,Gerhard Hanappi-Stadion,
3,08/01/1987 18:00,VfB Mödling,SK Raika Sturm Graz,2,2,Bundesstadion Südstadt,
3,08/01/1987 18:00,First Vienna FC 1894,SK VOEST Linz,0,3,Stadion Hohe Warte,
4,08/04/1987 19:00,FK Austria Memphis,FC Swarovski Tirol,3,0,Praterstadion,
4,08/04/1987 19:00,Wiener Sport-Club,First Vienna FC 1894,1,5,Dornbach,
4,08/04/1987 19:00,SK VOEST Linz,Grazer AK,1,1,Stadion der Stadt Linz,
4,08/05/1987 17:30,FC Admira/Wacker,Linzer ASK,2,0,Bundesstadion Südstadt,
4,08/05/1987 18:00,SK Raika Sturm Graz,SK Austria Klagenfurt,4,0,Gruabn,
4,08/05/1987 19:30,VfB Mödling,SK Rapid Wien,0,3,Bundesstadion Südstadt,
5,08/07/1987 18:00,Grazer AK,Wiener Sport-Club,2,2,GAK-Platz,
5,08/07/1987 19:00,SK Austria Klagenfurt,FK Austria Memphis,0,0,Wörthersee Stadion (alt),
5,08/07/1987 19:00,Linzer ASK,VfB Mödling,1,1,Stadion der Stadt Linz,
