round,date,home_team,away_team,home_score,away_score,stadium,stage
1,06/14/2020,IK Sirius FK,Djurgården,0,2,Studenternas,
1,06/14/2020,IFK Göteborg,IF Elfsborg,0,1,Gamla Ullevi,
1,06/14/2020,IFK Norrköping FK,Kalmar FF,2,1,Platinum Car Arena,
1,06/14/2020,Örebro,AIK,0,2,Behrn Arena,
1,06/14/2020,Hammarby,Östersund,2,0,Tele2 Arena,
1,06/15/2020,Malmö FF,Mjällby AIF,2,0,Eleda Stadion,
1,06/15/2020,Falkenbergs FF,BK Häcken,1,1,Falcon Alkoholfri Arena,
1,06/15/2020,Helsingborgs IF,Varbergs BoIS FC,0,3,"Olympia, Helsingborg",
2,06/17/2020,IF Elfsborg,Hammarby,2,2,Borås Arena,
2,06/17/2020,Djurgården,Örebro,1,2,Tele2 Arena,
2,06/17/2020,AIK,IFK Norrköping FK,1,4,"Nationalarenan, Friends Arena",
2,06/18/2020,Mjällby AIF,Falkenbergs FF,0,1,Strandvallen A-plan,
2,06/18/2020,BK Häcken,Malmö FF,1,1,Bravida Arena,
2,06/18/2020,Östersund,IK Sirius FK,0,2,Jämtkraft Arena,
2,06/18/2020,Kalmar FF,Helsingborgs IF,4,0,Fredrikskans,
2,06/18/2020,Varbergs BoIS FC,IFK Göteborg,1,2,Varberg Energi Arena,
3,06/21/2020,Falkenbergs FF,Kalmar FF,0,2,Falcon Alkoholfri Arena,
3,06/21/2020,Malmö FF,Varbergs BoIS FC,2,2,Eleda Stadion,
3,06/21/2020,IFK Norrköping FK,Djurgården,3,0,Platinum Car Arena,
3,06/21/2020,Hammarby,AIK,0,2,Tele2 Arena,
3,06/21/2020,Örebro,Östersund,0,0,Behrn Arena,
3,06/22/2020,IFK Göteborg,Mjällby AIF,2,2,Gamla Ullevi,
3,06/22/2020,IK Sirius FK,BK Häcken,2,2,Studenternas,
3,06/22/2020,Helsingborgs IF,IF Elfsborg,0,0,"Olympia, Helsingborg",
4,06/27/2020,Östersund,IFK Norrköping FK,2,4,Jämtkraft Arena,
4,06/28/2020,Djurgården,Kalmar FF,5,0,Tele2 Arena,
4,06/28/2020,IK Sirius FK,IFK Göteborg,2,2,Studenternas,
4,06/28/2020,Mjällby AIF,Hammarby,2,1,Strandvallen A-plan,
4,06/28/2020,IF Elfsborg,Örebro,1,1,Borås Arena,
4,06/28/2020,AIK,Malmö FF,2,2,"Nationalarenan, Friends Arena",
4,06/29/2020,BK Häcken,Helsingborgs IF,1,0,Bravida Arena,
4,06/29/2020,Varbergs BoIS FC,Falkenbergs FF,3,1,Varberg Energi Arena,
5,07/01/2020,Kalmar FF,Östersund,1,2,Guldfågeln Arena,
5,07/01/2020,Malmö FF,Djurgården,1,0,Eleda Stadion,
5,07/01/2020,IFK Norrköping FK,IF Elfsborg,1,1,Platinum Car Arena,
5,07/02/2020,Helsingborgs IF,Mjällby AIF,0,1,"Olympia, Helsingborg",
5,07/02/2020,Hammarby,Varbergs BoIS FC,1,0,Tele2 Arena,
5,07/02/2020,Örebro,BK Häcken,0,0,Behrn Arena,
5,07/02/2020,Falkenbergs FF,IK Sirius FK,1,2,Falcon Alkoholfri Arena,
5,07/02/2020,IFK Göteborg,AIK,1,0,Gamla Ullevi,
6,07/05/2020,AIK,Falkenbergs FF,1,1,"Nationalarenan, Friends Arena",
6,07/05/2020,IF Elfsborg,Malmö FF,1,0,Borås Arena,
6,07/05/2020,IK Sirius FK,Örebro,2,1,Studenternas,
6,07/05/2020,BK Häcken,Hammarby,3,0,Bravida Arena,
6,07/06/2020,Djurgården,Helsingborgs IF,2,2,Tele2 Arena,
6,07/06/2020,Östersund,Mjällby AIF,0,1,Jämtkraft Arena,
6,07/06/2020,Varbergs BoIS FC,Kalmar FF,1,0,Varberg Energi Arena,
6,07/06/2020,IFK Norrköping FK,IFK Göteborg,3,1,Platinum Car Arena,
7,07/11/2020,Falkenbergs FF,Östersund,0,1,Falcon Alkoholfri Arena,
7,07/11/2020,Hammarby,IK Sirius FK,0,0,Tele2 Arena,
7,07/12/2020,Örebro,Varbergs BoIS FC,1,0,Behrn Arena,
7,07/12/2020,Helsingborgs IF,AIK,2,0,"Olympia, Helsingborg",
7,07/12/2020,IFK Göteborg,Djurgården,1,2,Gamla Ullevi,
7,07/12/2020,Mjällby AIF,BK Häcken,3,1,Strandvallen A-plan,
7,07/13/2020,Kalmar FF,IF Elfsborg,1,2,Guldfågeln Arena,
7,07/13/2020,Malmö FF,IFK Norrköping FK,1,1,Eleda Stadion,
8,07/15/2020,IFK Göteborg,Helsingborgs IF,1,1,Gamla Ullevi,
8,07/15/2020,Djurgården,Falkenbergs FF,1,0,Tele2 Arena,
8,07/15/2020,AIK,IK Sirius FK,1,0,"Nationalarenan, Friends Arena",
8,07/16/2020,Varbergs BoIS FC,Mjällby AIF,1,0,Varberg Energi Arena,
