round,date,home_team,away_team,home_score,away_score,stadium,stage
1,08/11/2000 20:15,Borussia Dortmund,Hansa Rostock,1,0,Westfalenstadion,
1,08/12/2000 15:30,1. FC Kaiserslautern,VfL Bochum,0,1,Fritz-Walter-Stadion,
1,08/12/2000 15:30,Bayer 04 Leverkusen,VfL Wolfsburg,2,0,Bay-Arena,
1,08/12/2000 15:30,SC Freiburg,VfB Stuttgart,4,0,Dreisamstadion,
1,08/12/2000 15:30,Werder Bremen,Energie Cottbus,3,1,Weserstadion,
1,08/12/2000 15:30,Hamburger SV,TSV 1860 München,2,2,Volksparkstadion,
1,08/12/2000 20:15,Bayern München,Hertha BSC,4,1,Olympiastadion,
1,08/13/2000 17:30,Eintracht Frankfurt,SpVgg Unterhaching,3,0,Waldstadion,
1,08/13/2000 17:40,FC Schalke 04,1. FC Köln,2,1,Parkstadion,
2,08/18/2000 20:15,Energie Cottbus,Borussia Dortmund,1,4,Stadion der Freundschaft,
2,08/19/2000 15:30,TSV 1860 München,Werder Bremen,2,1,Olympiastadion,
2,08/19/2000 15:30,SpVgg Unterhaching,SC Freiburg,1,1,Sportpark Unterhaching,
2,08/19/2000 15:30,VfL Wolfsburg,1. FC Kaiserslautern,4,0,VfL-Stadion am Elsterweg,
2,08/19/2000 15:30,VfL Bochum,Bayern München,0,3,Ruhrstadion,
2,08/19/2000 15:30,Hertha BSC,Hamburger SV,4,0,Olympiastadion,
2,08/19/2000 20:15,VfB Stuttgart,Bayer 04 Leverkusen,4,1,Gottlieb-Daimler-Stadion,
2,08/20/2000 17:30,Hansa Rostock,FC Schalke 04,0,4,Ostseestadion,
2,08/20/2000 17:30,1. FC Köln,Eintracht Frankfurt,4,1,Müngersdorfer Stadion,
3,09/05/2000 18:15,SC Freiburg,1. FC Köln,0,0,Dreisamstadion,
3,09/05/2000 20:15,1. FC Kaiserslautern,VfB Stuttgart,1,0,Fritz-Walter-Stadion,
3,09/05/2000 20:15,Bayer 04 Leverkusen,SpVgg Unterhaching,1,0,Bay-Arena,
3,09/05/2000 20:15,FC Schalke 04,Energie Cottbus,3,0,Parkstadion,
3,09/06/2000 18:15,Hamburger SV,Werder Bremen,2,1,Volksparkstadion,
3,09/06/2000 20:15,Bayern München,VfL Wolfsburg,3,1,Olympiastadion,
3,09/06/2000 20:15,Eintracht Frankfurt,Hansa Rostock,4,0,Waldstadion,
3,09/06/2000 20:15,Borussia Dortmund,TSV 1860 München,2,3,Westfalenstadion,
3,09/06/2000 20:15,Hertha BSC,VfL Bochum,4,0,Olympiastadion,
4,09/08/2000 20:15,SpVgg Unterhaching,1. FC Kaiserslautern,0,0,Sportpark Unterhaching,
4,09/09/2000 15:30,TSV 1860 München,FC Schalke 04,1,1,Olympiastadion,
4,09/09/2000 15:30,1. FC Köln,Bayer 04 Leverkusen,1,1,Müngersdorfer Stadion,
4,09/09/2000 15:30,VfB Stuttgart,Bayern München,2,1,Gottlieb-Daimler-Stadion,
4,09/09/2000 15:30,VfL Wolfsburg,Hertha BSC,2,1,VfL-Stadion am Elsterweg,
4,09/09/2000 15:30,VfL Bochum,Hamburger SV,0,4,Ruhrstadion,
4,09/09/2000 20:15,Werder Bremen,Borussia Dortmund,1,2,Weserstadion,
4,09/10/2000 17:30,Hansa Rostock,SC Freiburg,0,0,Ostseestadion,
4,09/10/2000 17:30,Energie Cottbus,Eintracht Frankfurt,2,0,Stadion der Freundschaft,
5,09/15/2000 20:15,1. FC Kaiserslautern,1. FC Köln,3,1,Fritz-Walter-Stadion,
5,09/16/2000 15:30,Bayer 04 Leverkusen,Hansa Rostock,1,2,Bay-Arena,
5,09/16/2000 15:30,SC Freiburg,Energie Cottbus,4,1,Dreisamstadion,
5,09/16/2000 15:30,Eintracht Frankfurt,TSV 1860 München,1,0,Waldstadion,
5,09/16/2000 15:30,VfL Bochum,VfL Wolfsburg,2,1,Ruhrstadion,
5,09/16/2000 15:30,Hamburger SV,Borussia Dortmund,2,3,Volksparkstadion,
5,09/16/2000 20:15,Bayern München,SpVgg Unterhaching,3,1,Olympiastadion,
5,09/17/2000 17:30,FC Schalke 04,Werder Bremen,1,1,Parkstadion,
5,09/17/2000 17:30,Hertha BSC,VfB Stuttgart,2,0,Olympiastadion,
6,09/22/2000 20:15,TSV 1860 München,SC Freiburg,3,1,Olympiastadion,
6,09/23/2000 15:30,1. FC Köln,Bayern München,1,2,Müngersdorfer Stadion,
6,09/23/2000 15:30,VfB Stuttgart,VfL Bochum,1,1,Gottlieb-Daimler-Stadion,
6,09/23/2000 15:30,VfL Wolfsburg,Hamburger SV,4,4,VfL-Stadion am Elsterweg,
6,09/23/2000 15:30,Borussia Dortmund,FC Schalke 04,0,4,Westfalenstadion,
6,09/23/2000 15:30,Werder Bremen,Eintracht Frankfurt,1,1,Weserstadion,
6,09/23/2000 20:15,Energie Cottbus,Bayer 04 Leverkusen,1,2,Stadion der Freundschaft,
6,09/24/2000 17:30,Hansa Rostock,1. FC Kaiserslautern,1,0,Ostseestadion,
6,09/24/2000 17:30,SpVgg Unterhaching,Hertha BSC,5,2,Sportpark Unterhaching,
7,09/29/2000 20:15,Eintracht Frankfurt,Borussia Dortmund,1,1,Waldstadion,
7,09/30/2000 15:30,Bayern München,Hansa Rostock,0,1,Olympiastadion,
7,09/30/2000 15:30,1. FC Kaiserslautern,Energie Cottbus,1,1,Fritz-Walter-Stadion,
7,09/30/2000 15:30,VfL Bochum,SpVgg Unterhaching,3,0,Ruhrstadion,
7,09/30/2000 15:30,Hertha BSC,1. FC Köln,4,2,Olympiastadion,
7,09/30/2000 15:30,Hamburger SV,FC Schalke 04,2,0,Volksparkstadion,
