round,date,home_team,away_team,home_score,away_score,stadium,stage
1,08/13/2000,VIATOR&VEKTOR,Aluminij,1,1,NK Ljubljana,
1,08/13/2000,Dravinja,Železničar Ligro,2,1,Dobrava Sl.Konjice,
1,08/13/2000,Feroterm Lenterm,Esotech Šmartno,2,0,Ruše,
1,08/13/2000,Jadran Šepič,Brda,3,0,Hrpelje-Kozina,
1,08/13/2000,Šentjur - izstopil iz lige,Elan Granit Commerce,2,2,Šentjur,
1,08/13/2000,Renkovci,Živila Triglav,0,4,Renkovci,
1,08/13/2000,Nafta,Beltinci,1,0,Nafta,
1,08/13/2000,Livar Ivančna Gorica,Zagorje,1,0,Ivančna Gorica,
2,08/20/2000,Brda,Šentjur - izstopil iz lige,1,3,Adria - Miren pri N.Gorici,
2,08/20/2000,Esotech Šmartno,Železničar Ligro,1,1,Šmartno ob Paki,
2,08/20/2000,Aluminij,Dravinja,3,1,Kidričevo,
2,08/20/2000,Zagorje,VIATOR&VEKTOR,4,1,Zagorje ob Savi,
2,08/20/2000,Beltinci,Livar Ivančna Gorica,0,4,Beltinci,
2,08/20/2000,Živila Triglav,Nafta,3,0,Mestni stadion,
2,08/20/2000,Elan Granit Commerce,Renkovci,4,2,Novo Mesto,
2,08/20/2000,Feroterm Lenterm,Jadran Šepič,2,1,Ruše,
3,08/23/2000,Jadran Šepič,Esotech Šmartno,4,1,Krvavi potok,
3,08/23/2000,Šentjur - izstopil iz lige,Feroterm Lenterm,1,0,Šentjur,
3,08/23/2000,Renkovci,Brda,2,0,Renkovci,
3,08/23/2000,Nafta,Elan Granit Commerce,0,0,NK Nafta,
3,08/23/2000,Livar Ivančna Gorica,Živila Triglav,0,3,Ivančna Gorica,
3,08/23/2000,Dravinja,Zagorje,0,0,Dobrava Slov.Konjice,
3,08/23/2000,Železničar Ligro,Aluminij,2,2,Tabor,
3,08/23/2000,VIATOR&VEKTOR,Beltinci,1,1,NK Svoboda,
4,08/27/2000,Esotech Šmartno,Aluminij,1,2,Šmartno ob Paki,
4,08/27/2000,Zagorje,Železničar Ligro,2,0,Zagorje ob Savi,
4,08/27/2000,Beltinci,Dravinja,0,1,Beltinci,
4,08/27/2000,Živila Triglav,VIATOR&VEKTOR,2,0,Mestni stadion,
4,08/27/2000,Elan Granit Commerce,Livar Ivančna Gorica,3,0,Portoval,
4,08/27/2000,Nafta,Brda,3,1,Lendava,
4,08/27/2000,Feroterm Lenterm,Renkovci,2,0,Ruše,
4,08/27/2000,Jadran Šepič,Šentjur - izstopil iz lige,2,0,Krvavi potok,
5,09/02/2000,Šentjur - izstopil iz lige,Esotech Šmartno,1,2,Šentjur,
5,09/02/2000,Renkovci,Jadran Šepič,1,3,Renkovci,
5,09/02/2000,Nafta,Feroterm Lenterm,2,2,Lendava,
5,09/02/2000,Livar Ivančna Gorica,Brda,3,0,Ivančna Gorica,
5,09/02/2000,VIATOR&VEKTOR,Elan Granit Commerce,0,1,Ljubljana,
5,09/02/2000,Dravinja,Živila Triglav,1,0,Slovenske Konjice,
5,09/02/2000,Železničar Ligro,Beltinci,1,1,Maribor,
5,09/02/2000,Aluminij,Zagorje,1,1,Kidričevo,
6,09/10/2000,Esotech Šmartno,Zagorje,1,0,Šmartno ob Paki,
6,09/10/2000,Beltinci,Aluminij,2,1,Beltinci,
6,09/10/2000,Živila Triglav,Železničar Ligro,5,1,Kranj,
6,09/10/2000,Elan Granit Commerce,Dravinja,3,0,Novo mesto,
6,09/10/2000,Brda,VIATOR&VEKTOR,0,4,Dobrovo v Brdih,
6,09/10/2000,Feroterm Lenterm,Livar Ivančna Gorica,1,3,Ruše,
6,09/10/2000,Jadran Šepič,Nafta,1,0,Hrpelje Kozina,
6,09/10/2000,Šentjur - izstopil iz lige,Renkovci,5,3,Šentjur,
7,09/17/2000,Renkovci,Esotech Šmartno,1,1,Renkovci,
7,09/17/2000,Nafta,Šentjur - izstopil iz lige,3,0,Lendava,
7,09/17/2000,Livar Ivančna Gorica,Jadran Šepič,2,1,Ivančna Gorica,
7,09/17/2000,VIATOR&VEKTOR,Feroterm Lenterm,2,3,Ljubljana,
7,09/17/2000,Dravinja,Brda,1,0,Slovenske Konjice,
7,09/17/2000,Železničar Ligro,Elan Granit Commerce,5,1,Maribor Tabor,
7,09/17/2000,Aluminij,Živila Triglav,1,1,Kidričevo,
7,09/17/2000,Zagorje,Beltinci,2,0,Zagorje ob Savi,
8,09/24/2000,Esotech Šmartno,Beltinci,1,0,Šmartno ob Paki,
8,09/24/2000,Živila Triglav,Zagorje,3,0,Kranj,
8,09/24/2000,Elan Granit Commerce,Aluminij,2,1,Novo mesto,
8,09/24/2000,Brda,Železničar Ligro,2,0,Dobrovo v Brdih,
8,09/24/2000,Feroterm Lenterm,Dravinja,0,2,Ruše,
8,09/24/2000,Jadran Šepič,VIATOR&VEKTOR,1,1,Hrpelje Kozina,
8,09/24/2000,Šentjur - izstopil iz lige,Livar Ivančna Gorica,1,1,Šentjur,
8,09/24/2000,Renkovci,Nafta,0,2,Renkovci,
9,10/01/2000,Zagorje,Elan Granit Commerce,1,0,Zagorje,
9,10/01/2000,Nafta,Esotech Šmartno,0,0,Lendava,
9,10/01/2000,Livar Ivančna Gorica,Renkovci,3,1,Ivančna Gorica,
9,10/01/2000,VIATOR&VEKTOR,Šentjur - izstopil iz lige,5,1,NK Ljubljana,
9,10/01/2000,Dravinja,Jadran Šepič,1,1,Slovenske Konjice,
9,10/01/2000,Železničar Ligro,Feroterm Lenterm,1,1,Maribor,
9,10/01/2000,Aluminij,Brda,6,2,Kidričevo,
9,10/01/2000,Beltinci,Živila Triglav,0,0,Beltinci,
10,10/08/2000,Esotech Šmartno,Živila Triglav,4,1,Šmartno ob Paki,
10,10/08/2000,Elan Granit Commerce,Beltinci,4,1,Novo mesto,
10,10/08/2000,Brda,Zagorje,2,3,Dobrovo v Brdih,
10,10/08/2000,Feroterm Lenterm,Aluminij,1,1,Ruše,
10,10/08/2000,Jadran Šepič,Železničar Ligro,3,0,Hrpelje-Kozina,
10,10/08/2000,Šentjur - izstopil iz lige,Dravinja,2,0,Šentjur,
10,10/08/2000,Renkovci,VIATOR&VEKTOR,0,1,Renkovci,
10,10/08/2000,Nafta,Livar Ivančna Gorica,2,1,Lendava,
11,10/15/2000,Livar Ivančna Gorica,Esotech Šmartno,2,2,Ivančna Gorica,
11,10/15/2000,VIATOR&VEKTOR,Nafta,1,1,NK Ljubljana,
11,10/15/2000,Dravinja,Renkovci,3,1,Slovenske Konjice,
11,10/15/2000,Železničar Ligro,Šentjur - izstopil iz lige,1,3,Maribor,
11,10/15/2000,Aluminij,Jadran Šepič,4,1,Kidričevo,
11,10/15/2000,Zagorje,Feroterm Lenterm,4,1,Zagorje ob Savi,
11,10/15/2000,Beltinci,Brda,4,2,Beltinci,
11,10/15/2000,Živila Triglav,Elan Granit Commerce,0,3,Kranj,
12,10/22/2000,Esotech Šmartno,Elan Granit Commerce,6,0,Šmartno ob Paki,
12,10/22/2000,Brda,Živila Triglav,0,5,Dobrovo v Brdih,
12,10/22/2000,Feroterm Lenterm,Beltinci,0,0,Ruše,
12,10/22/2000,Jadran Šepič,Zagorje,1,0,Hrpelje-Kozina,
12,10/22/2000,Šentjur - izstopil iz lige,Aluminij,0,0,Šentjur,
12,10/22/2000,Renkovci,Železničar Ligro,1,2,Renkovci,
12,10/22/2000,Nafta,Dravinja,3,0,Lendava,
12,10/22/2000,Livar Ivančna Gorica,VIATOR&VEKTOR,3,1,Ivančna Gorica,
13,10/29/2000,VIATOR&VEKTOR,Esotech Šmartno,0,3,NK Ljubljana,
13,10/29/2000,Dravinja,Livar Ivančna Gorica,1,0,Slovenske Konjice,
13,10/29/2000,Železničar Ligro,Nafta,1,0,Maribor,
13,10/29/2000,Aluminij,Renkovci,3,1,Kidričevo,
13,10/29/2000,Zagorje,Šentjur - izstopil iz lige,3,0,Kisovec,
13,10/29/2000,Beltinci,Jadran Šepič,1,4,Beltinci,
13,10/29/2000,Živila Triglav,Feroterm Lenterm,4,0,Kranj,
13,10/29/2000,Elan Granit Commerce,Brda,1,0,Novo mesto,
14,11/05/2000,Renkovci,Zagorje,2,2,Renkovci,
14,11/05/2000,Nafta,Aluminij,2,1,Lendava,
14,11/05/2000,Livar Ivančna Gorica,Železničar Ligro,2,0,Ivančna Gorica,
14,11/05/2000,VIATOR&VEKTOR,Dravinja,4,2,NK Ljubljana,
14,11/05/2000,Esotech Šmartno,Brda,6,1,Šmartno ob Paki,
14,11/05/2000,Feroterm Lenterm,Elan Granit Commerce,0,5,Ruše,
14,11/05/2000,Jadran Šepič,Živila Triglav,1,2,Hrpelje-Kozina,
14,11/05/2000,Šentjur - izstopil iz lige,Beltinci,3,0,Šentjur pri Celju,
15,11/11/2000,Beltinci,Renkovci,2,1,Beltinci,
15,11/12/2000,Živila Triglav,Šentjur - izstopil iz lige,4,1,Kranj,
15,11/12/2000,Elan Granit Commerce,Jadran Šepič,0,1,Novo mesto,
15,11/12/2000,Brda,Feroterm Lenterm,6,1,Dobrovo v Brdih,
15,11/12/2000,Dravinja,Esotech Šmartno,1,2,Dravinja,
15,11/12/2000,Železničar Ligro,VIATOR&VEKTOR,3,2,Maribor,
15,11/12/2000,Aluminij,Livar Ivančna Gorica,2,1,Kidričevo,
15,11/12/2000,Zagorje,Nafta,1,1,Kisovec,
