round,date,home_team,away_team,home_score,away_score,stadium,stage
1,08/10/2007 20:30,VfB Stuttgart,FC Schalke 04,2,2,Gottlieb-Daimler-Stadion,
1,08/11/2007 15:30,Bayern München,Hansa Rostock,3,0,Allianz Arena,
1,08/11/2007 15:30,Bayer 04 Leverkusen,Energie Cottbus,0,0,Bay-Arena,
1,08/11/2007 15:30,VfL Bochum,Werder Bremen,2,2,rewirpowerSTADION,
1,08/11/2007 15:30,Hannover 96,Hamburger SV,0,1,AWD-Arena,
1,08/11/2007 15:30,Eintracht Frankfurt,Hertha BSC,1,0,Waldstadion,
1,08/11/2007 15:30,VfL Wolfsburg,Arminia Bielefeld,1,3,Volkswagen Arena,
1,08/12/2007 17:00,1. FC Nürnberg,Karlsruher SC,0,2,easyCredit-Stadion,
1,08/12/2007 17:00,Borussia Dortmund,MSV Duisburg,1,3,Signal-Iduna-Park,
2,08/17/2007 20:30,Karlsruher SC,Hannover 96,1,2,Wildparkstadion,
2,08/18/2007 15:30,FC Schalke 04,Borussia Dortmund,4,1,Veltins-Arena,
2,08/18/2007 15:30,Werder Bremen,Bayern München,0,4,Weserstadion,
2,08/18/2007 15:30,Hertha BSC,VfB Stuttgart,3,1,Olympiastadion,
2,08/18/2007 15:30,Arminia Bielefeld,Eintracht Frankfurt,2,2,SchücoArena,
2,08/18/2007 15:30,Hansa Rostock,1. FC Nürnberg,1,2,DKB-Arena,
2,08/18/2007 15:30,MSV Duisburg,VfL Wolfsburg,1,3,MSV-Arena,
2,08/19/2007 17:00,Hamburger SV,Bayer 04 Leverkusen,1,0,HSH Nordbank Arena,
2,08/19/2007 17:00,Energie Cottbus,VfL Bochum,1,2,Stadion der Freundschaft,
3,08/24/2007 20:30,VfL Bochum,Hamburger SV,2,1,rewirpowerSTADION,
3,08/25/2007 15:30,VfB Stuttgart,MSV Duisburg,1,0,Gottlieb-Daimler-Stadion,
3,08/25/2007 15:30,Bayern München,Hannover 96,3,0,Allianz Arena,
3,08/25/2007 15:30,Bayer 04 Leverkusen,Karlsruher SC,3,0,Bay-Arena,
3,08/25/2007 15:30,1. FC Nürnberg,Werder Bremen,0,1,easyCredit-Stadion,
3,08/25/2007 15:30,Borussia Dortmund,Energie Cottbus,3,0,Signal-Iduna-Park,
3,08/25/2007 15:30,Arminia Bielefeld,Hertha BSC,2,0,SchücoArena,
3,08/26/2007 17:00,Eintracht Frankfurt,Hansa Rostock,1,0,Waldstadion,
3,08/26/2007 17:00,VfL Wolfsburg,FC Schalke 04,1,1,Volkswagen Arena,
4,08/31/2007 20:30,FC Schalke 04,Bayer 04 Leverkusen,1,1,Veltins-Arena,
4,09/01/2007 15:30,Werder Bremen,Eintracht Frankfurt,2,1,Weserstadion,
4,09/01/2007 15:30,Hertha BSC,VfL Wolfsburg,2,1,Olympiastadion,
4,09/01/2007 15:30,Hannover 96,VfL Bochum,3,2,AWD-Arena,
4,09/01/2007 15:30,Energie Cottbus,1. FC Nürnberg,1,1,Stadion der Freundschaft,
4,09/01/2007 15:30,Hansa Rostock,Borussia Dortmund,0,1,DKB-Arena,
4,09/01/2007 15:30,MSV Duisburg,Arminia Bielefeld,3,0,MSV-Arena,
4,09/02/2007 17:00,Hamburger SV,Bayern München,1,1,HSH Nordbank Arena,
4,09/02/2007 17:00,Karlsruher SC,VfB Stuttgart,1,0,Wildparkstadion,
5,09/14/2007 20:30,Borussia Dortmund,Werder Bremen,3,0,Signal-Iduna-Park,
5,09/15/2007 15:30,VfB Stuttgart,Energie Cottbus,3,0,Gottlieb-Daimler-Stadion,
5,09/15/2007 15:30,Bayern München,FC Schalke 04,1,1,Allianz Arena,
5,09/15/2007 15:30,Bayer 04 Leverkusen,VfL Bochum,2,0,Bay-Arena,
5,09/15/2007 15:30,1. FC Nürnberg,Hannover 96,2,2,easyCredit-Stadion,
5,09/15/2007 15:30,Arminia Bielefeld,Hansa Rostock,4,2,SchücoArena,
5,09/15/2007 15:30,Eintracht Frankfurt,Hamburger SV,2,1,Waldstadion,
5,09/16/2007 17:00,VfL Wolfsburg,Karlsruher SC,1,2,Volkswagen Arena,
5,09/16/2007 17:00,MSV Duisburg,Hertha BSC,1,2,MSV-Arena,
6,09/21/2007 20:30,VfL Bochum,Eintracht Frankfurt,0,0,rewirpowerSTADION,
6,09/22/2007 15:30,FC Schalke 04,Arminia Bielefeld,3,0,Veltins-Arena,
6,09/22/2007 15:30,Werder Bremen,VfB Stuttgart,4,1,Weserstadion,
6,09/22/2007 15:30,Hamburger SV,1. FC Nürnberg,1,0,HSH Nordbank Arena,
6,09/22/2007 15:30,Hertha BSC,Borussia Dortmund,3,2,Olympiastadion,
6,09/22/2007 15:30,Energie Cottbus,VfL Wolfsburg,1,2,Stadion der Freundschaft,
6,09/22/2007 15:30,Hansa Rostock,MSV Duisburg,2,0,DKB-Arena,
6,09/23/2007 17:00,Hannover 96,Bayer 04 Leverkusen,0,3,AWD-Arena,
6,09/23/2007 17:00,Karlsruher SC,Bayern München,1,4,Wildparkstadion,
7,09/25/2007 20:00,Borussia Dortmund,Hamburger SV,0,3,Signal-Iduna-Park,
7,09/25/2007 20:00,Hertha BSC,Hansa Rostock,1,3,Olympiastadion,
7,09/25/2007 20:00,VfL Wolfsburg,Werder Bremen,1,1,Volkswagen Arena,
7,09/25/2007 20:00,MSV Duisburg,FC Schalke 04,0,2,MSV-Arena,
7,09/26/2007 20:00,Bayern München,Energie Cottbus,5,0,Allianz Arena,
7,09/26/2007 20:00,1. FC Nürnberg,Bayer 04 Leverkusen,1,2,easyCredit-Stadion,
7,09/26/2007 20:00,Arminia Bielefeld,Hannover 96,0,2,SchücoArena,
7,09/26/2007 20:00,Eintracht Frankfurt,Karlsruher SC,0,1,Waldstadion,
7,09/26/2007 20:00,VfB Stuttgart,VfL Bochum,1,0,Gottlieb-Daimler-Stadion,
8,09/28/2007 20:30,FC Schalke 04,Hertha BSC,1,0,Veltins-Arena,
8,09/29/2007 15:30,Werder Bremen,Arminia Bielefeld,8,1,Weserstadion,
8,09/29/2007 15:30,Bayer 04 Leverkusen,Bayern München,0,1,Bay-Arena,
8,09/29/2007 15:30,Hamburger SV,VfL Wolfsburg,2,2,HSH Nordbank Arena,
8,09/29/2007 15:30,VfL Bochum,1. FC Nürnberg,3,3,rewirpowerSTADION,
8,09/29/2007 15:30,Karlsruher SC,Borussia Dortmund,3,1,Wildparkstadion,
8,09/29/2007 15:30,Hansa Rostock,VfB Stuttgart,2,1,DKB-Arena,
8,09/30/2007 17:00,Hannover 96,MSV Duisburg,2,1,AWD-Arena,
8,09/30/2007 17:00,Energie Cottbus,Eintracht Frankfurt,2,2,Stadion der Freundschaft,
9,10/05/2007 20:30,Borussia Dortmund,VfL Bochum,2,1,Signal-Iduna-Park,
9,10/06/2007 15:30,VfB Stuttgart,Hannover 96,0,2,Gottlieb-Daimler-Stadion,
9,10/06/2007 15:30,FC Schalke 04,Karlsruher SC,0,2,Veltins-Arena,
9,10/06/2007 15:30,Hertha BSC,Energie Cottbus,0,0,Olympiastadion,
9,10/06/2007 15:30,Arminia Bielefeld,Hamburger SV,0,1,SchücoArena,
9,10/06/2007 15:30,VfL Wolfsburg,Hansa Rostock,1,0,Volkswagen Arena,
9,10/06/2007 15:30,MSV Duisburg,Werder Bremen,1,3,MSV-Arena,
9,10/07/2007 17:00,Bayern München,1. FC Nürnberg,3,0,Allianz Arena,
9,10/07/2007 17:00,Eintracht Frankfurt,Bayer 04 Leverkusen,2,1,Waldstadion,
10,10/19/2007 20:30,Energie Cottbus,MSV Duisburg,1,2,Stadion der Freundschaft,
10,10/20/2007 15:30,Werder Bremen,Hertha BSC,3,2,Weserstadion,
10,10/20/2007 15:30,Bayer 04 Leverkusen,Borussia Dortmund,2,2,Bay-Arena,
10,10/20/2007 15:30,1. FC Nürnberg,Eintracht Frankfurt,5,1,easyCredit-Stadion,
10,10/20/2007 15:30,Hamburger SV,VfB Stuttgart,4,1,HSH Nordbank Arena,
10,10/20/2007 15:30,VfL Bochum,Bayern München,1,2,rewirpowerSTADION,
10,10/20/2007 15:30,Hansa Rostock,FC Schalke 04,1,1,DKB-Arena,
10,10/21/2007 17:00,Hannover 96,VfL Wolfsburg,2,2,AWD-Arena,
10,10/21/2007 17:00,Karlsruher SC,Arminia Bielefeld,0,0,Wildparkstadion,
11,10/26/2007 20:30,Eintracht Frankfurt,Hannover 96,0,0,Waldstadion,
11,10/27/2007 15:30,VfB Stuttgart,Bayer 04 Leverkusen,1,0,Gottlieb-Daimler-Stadion,
11,10/27/2007 15:30,FC Schalke 04,Werder Bremen,1,1,Veltins-Arena,
11,10/27/2007 15:30,Hertha BSC,VfL Bochum,2,0,Olympiastadion,
11,10/27/2007 15:30,Arminia Bielefeld,Energie Cottbus,1,1,SchücoArena,
11,10/27/2007 15:30,VfL Wolfsburg,1. FC Nürnberg,3,1,Volkswagen Arena,
11,10/27/2007 15:30,Hansa Rostock,Karlsruher SC,0,0,DKB-Arena,
11,10/28/2007 17:00,Borussia Dortmund,Bayern München,0,0,Signal-Iduna-Park,
11,10/28/2007 17:00,MSV Duisburg,Hamburger SV,0,1,MSV-Arena,
12,11/02/2007 20:30,Energie Cottbus,FC Schalke 04,1,0,Stadion der Freundschaft,
12,11/03/2007 15:30,Werder Bremen,Hansa Rostock,1,0,Weserstadion,
12,11/03/2007 15:30,Bayern München,Eintracht Frankfurt,0,0,Allianz Arena,
12,11/03/2007 15:30,Bayer 04 Leverkusen,Arminia Bielefeld,4,0,Bay-Arena,
12,11/03/2007 15:30,1. FC Nürnberg,VfB Stuttgart,0,1,easyCredit-Stadion,
12,11/03/2007 15:30,Hamburger SV,Hertha BSC,2,1,HSH Nordbank Arena,
12,11/03/2007 15:30,Hannover 96,Borussia Dortmund,2,1,AWD-Arena,
12,11/04/2007 17:00,VfL Bochum,VfL Wolfsburg,5,3,rewirpowerSTADION,
12,11/04/2007 17:00,Karlsruher SC,MSV Duisburg,1,0,Wildparkstadion,
13,11/09/2007 20:30,MSV Duisburg,VfL Bochum,0,2,MSV-Arena,
13,11/10/2007 15:30,VfB Stuttgart,Bayern München,3,1,Gottlieb-Daimler-Stadion,
13,11/10/2007 15:30,FC Schalke 04,Hamburger SV,1,1,Veltins-Arena,
13,11/10/2007 15:30,Werder Bremen,Karlsruher SC,4,0,Weserstadion,
13,11/10/2007 15:30,Borussia Dortmund,Eintracht Frankfurt,1,1,Signal-Iduna-Park,
13,11/10/2007 15:30,Hertha BSC,Hannover 96,1,0,Olympiastadion,
13,11/10/2007 15:30,Hansa Rostock,Energie Cottbus,3,2,DKB-Arena,
13,11/11/2007 17:00,Arminia Bielefeld,1. FC Nürnberg,3,1,SchücoArena,
13,11/11/2007 17:00,VfL Wolfsburg,Bayer 04 Leverkusen,1,2,Volkswagen Arena,
14,11/23/2007 20:30,Karlsruher SC,Hertha BSC,2,1,Wildparkstadion,
14,11/24/2007 15:30,Bayern München,VfL Wolfsburg,2,1,Allianz Arena,
14,11/24/2007 15:30,Bayer 04 Leverkusen,MSV Duisburg,4,1,Bay-Arena,
14,11/24/2007 15:30,VfL Bochum,Arminia Bielefeld,3,0,rewirpowerSTADION,
14,11/24/2007 15:30,Hannover 96,FC Schalke 04,2,3,AWD-Arena,
14,11/24/2007 15:30,Energie Cottbus,Werder Bremen,0,2,Stadion der Freundschaft,
14,11/24/2007 15:30,Eintracht Frankfurt,VfB Stuttgart,1,4,Waldstadion,
14,11/25/2007 17:00,1. FC Nürnberg,Borussia Dortmund,2,0,easyCredit-Stadion,
14,11/25/2007 17:00,Hamburger SV,Hansa Rostock,2,0,HSH Nordbank Arena,
15,11/30/2007 20:30,Hansa Rostock,Hannover 96,0,3,DKB-Arena,
