round,date,home_team,away_team,home_score,away_score,stadium,stage
17,02/17/2018 15:00,FC Fastav Zlín,FK Dukla Praha,1,1,Letná,
17,02/17/2018 15:00,FK Jablonec,FK Teplice,2,1,Střelnice,
17,02/17/2018 16:30,FC Vysočina Jihlava,SK Slavia Praha,1,0,Stadion v Jiráskově ulici,
17,02/17/2018 18:30,Bohemians Praha 1905,FC Zbrojovka Brno,1,0,Ďolíček,
17,02/18/2018 16:00,SK Sigma Olomouc,FC Viktoria Plzeň,0,0,Andrův stadión,
17,02/18/2018 18:00,AC Sparta Praha,FC Slovan Liberec,2,0,Generali Česká pojišťovna Arena,
18,02/23/2018 18:00,FK Dukla Praha,FK Jablonec,0,1,Na Julisce,
18,02/24/2018 15:00,FC Zbrojovka Brno,SK Sigma Olomouc,1,0,Městský fotbalový stadión,
18,02/24/2018 15:00,FC Slovan Liberec,FK Mladá Boleslav,1,0,Stadión U Nisy,
18,02/24/2018 16:30,1.FC Slovácko,AC Sparta Praha,1,1,Městský fotbalový stadion Miroslava Valenty,
18,02/24/2018 18:30,FK Teplice,FC Baník Ostrava,0,0,Na Stínadlech,
18,02/25/2018 15:00,MFK Karviná,FC Fastav Zlín,4,0,Městský stadion Karviná,
18,02/25/2018 18:00,SK Slavia Praha,Bohemians Praha 1905,1,0,Sinobo Stadium,
18,02/26/2018 17:00,FC Viktoria Plzeň,FC Vysočina Jihlava,0,1,Doosan Aréna,
19,03/02/2018 20:15,Bohemians Praha 1905,FK Dukla Praha,2,0,Ďolíček,
19,03/03/2018 15:00,FC Slovan Liberec,MFK Karviná,2,2,Stadión U Nisy,
19,03/03/2018 15:00,SK Sigma Olomouc,1.FC Slovácko,1,0,Andrův stadión,
19,03/03/2018 15:00,FC Vysočina Jihlava,FK Teplice,3,1,Stadion v Jiráskově ulici,
19,03/03/2018 15:00,FC Fastav Zlín,FK Jablonec,0,4,Letná,
19,03/03/2018 18:00,FK Mladá Boleslav,SK Slavia Praha,0,3,Městský stadion Mladá Boleslav,
19,03/04/2018 18:00,AC Sparta Praha,FC Zbrojovka Brno,1,1,Generali Česká pojišťovna Arena,
19,04/04/2018 18:00,FC Baník Ostrava,FC Viktoria Plzeň,0,0,Městský stadion Ostrava,
20,03/09/2018 18:00,FK Dukla Praha,FC Vysočina Jihlava,1,3,Na Julisce,
20,03/10/2018 15:00,1.FC Slovácko,Bohemians Praha 1905,1,0,Městský fotbalový stadion Miroslava Valenty,
20,03/10/2018 15:00,MFK Karviná,AC Sparta Praha,1,1,Městský stadion Karviná,
20,03/10/2018 15:00,FC Zbrojovka Brno,FK Mladá Boleslav,0,3,Městský fotbalový stadión,
20,03/10/2018 19:00,FK Teplice,FC Fastav Zlín,2,1,Na Stínadlech,
20,03/11/2018 15:00,FK Jablonec,FC Baník Ostrava,2,0,Střelnice,
20,03/11/2018 15:00,SK Slavia Praha,SK Sigma Olomouc,3,1,Sinobo Stadium,
20,03/11/2018 17:15,FC Viktoria Plzeň,FC Slovan Liberec,2,2,Doosan Aréna,
21,03/16/2018 20:15,FC Slovan Liberec,FC Zbrojovka Brno,2,0,Stadión U Nisy,
21,03/17/2018 15:00,FK Mladá Boleslav,1.FC Slovácko,1,1,Městský stadion Mladá Boleslav,
21,03/17/2018 15:00,FC Baník Ostrava,FK Dukla Praha,1,2,Městský stadion Ostrava,
21,03/17/2018 15:00,FC Vysočina Jihlava,FK Jablonec,0,4,Stadion v Jiráskově ulici,
21,03/17/2018 17:30,AC Sparta Praha,SK Slavia Praha,3,3,Generali Česká pojišťovna Arena,
21,03/17/2018 20:00,SK Sigma Olomouc,MFK Karviná,1,1,Andrův stadión,
21,03/18/2018 15:00,Bohemians Praha 1905,FK Teplice,2,0,Ďolíček,
21,03/18/2018 17:00,FC Fastav Zlín,FC Viktoria Plzeň,0,1,Letná,
22,03/30/2018 18:00,FK Dukla Praha,SK Sigma Olomouc,2,3,Na Julisce,
22,03/30/2018 20:15,FC Baník Ostrava,FC Vysočina Jihlava,3,1,Městský stadion Ostrava,
22,03/31/2018 15:00,FC Zbrojovka Brno,MFK Karviná,0,0,Městský fotbalový stadión,
22,03/31/2018 15:00,FK Jablonec,Bohemians Praha 1905,2,1,Střelnice,
22,03/31/2018 15:00,1.FC Slovácko,FC Slovan Liberec,0,1,Městský fotbalový stadion Miroslava Valenty,
22,03/31/2018 18:00,FK Teplice,AC Sparta Praha,1,1,Na Stínadlech,
